terminal_id,port,terminal_name,berth,latitude,longitude,coordinate_kind,source_artifact,source_sha256,assignment_eligible,notes
polb_olympus,Long Beach,Olympus (formerly Chemoil),F209,33.75236775428441,-118.20423598025917,port-plan terminal point,polb_updated_port_plan_2024.pdf,30ab0d9ec5861d54a8f2d5f78bf4431d1954b8d7ffb6e946187dc54ab4518924,1,current terminal plan gives only coarse 33.74/-118.21
polb_tesoro_t2,Long Beach,Tesoro Logistics Terminal 2,B77-B78,33.77747481991456,-118.20796410354856,port-plan terminal point,polb_updated_port_plan_2024.pdf,30ab0d9ec5861d54a8f2d5f78bf4431d1954b8d7ffb6e946187dc54ab4518924,1,
polb_tesoro_lbt,Long Beach,Tesoro Logistics LBT,B84-B86,33.773041933235035,-118.22087704313827,port-plan terminal point,polb_updated_port_plan_2024.pdf,30ab0d9ec5861d54a8f2d5f78bf4431d1954b8d7ffb6e946187dc54ab4518924,1,
polb_tesoro_t1,Long Beach,Tesoro Logistics Terminal 1,T121,33.756728848857854,-118.21988175389073,port-plan terminal point,polb_updated_port_plan_2024.pdf,30ab0d9ec5861d54a8f2d5f78bf4431d1954b8d7ffb6e946187dc54ab4518924,1,
polb_vopak,Long Beach,Vopak,S101,33.7649395,-118.241046,midpoint of plan boundary endpoints,polb_vopak_updated_plan.pdf,9c535b00f93ac32aafc62afc81711300654bf21db6029cee274d0cdda6516051,1,"midpoint of 33.765125/-118.240247 to 33.764754/-118.241845"
pola_phillips66,Los Angeles,Phillips 66,B148-B151,33.75550245219525,-118.27207489342517,port-plan terminal point,pola_updated_port_plan_2024.pdf,d67a5f9a1522c18be86de77776362964413380b685d9cd994106b979eb8717f7,1,
pola_kinder_morgan,Los Angeles,Kinder Morgan,B118-B119,33.75683899474685,-118.28017520886124,port-plan terminal point,pola_updated_port_plan_2024.pdf,d67a5f9a1522c18be86de77776362964413380b685d9cd994106b979eb8717f7,1,
pola_ultramar,Los Angeles,Ultramar/Valero, B163-B164,33.75997302835016,-118.26669471196274,port-plan terminal point,pola_updated_port_plan_2024.pdf,d67a5f9a1522c18be86de77776362964413380b685d9cd994106b979eb8717f7,1,port plan supplies one terminal point for the two separately planned berths
pola_pbf,Los Angeles,PBF Energy Southwest Terminal,,33.734901549457234,-118.27277912250663,port-plan terminal point,pola_updated_port_plan_2024.pdf,d67a5f9a1522c18be86de77776362964413380b685d9cd994106b979eb8717f7,1,
pola_shell,Los Angeles,Shell Mormon Island,B167-B169,33.75433052370465,-118.26739388705505,port-plan terminal point,pola_updated_port_plan_2024.pdf,d67a5f9a1522c18be86de77776362964413380b685d9cd994106b979eb8717f7,1,
pola_vopak,Los Angeles,Vopak,,33.76648577062244,-118.26006492568224,port-plan terminal point,pola_updated_port_plan_2024.pdf,d67a5f9a1522c18be86de77776362964413380b685d9cd994106b979eb8717f7,1,
pola_shore_terminals,Los Angeles,Shore Terminals,B163,33.779605,-118.233935,port-plan terminal point,pola_updated_port_plan_2024.pdf,d67a5f9a1522c18be86de77776362964413380b685d9cd994106b979eb8717f7,1,
