registry_version,comparator_id,port_complex_id,component_port_codes,ais_measure,official_source,official_endpoint,official_measure,official_unit,direction,complex_aggregation,development_window,temporal_holdout_window,status,caveat
g1-comparator-v1-2026-07-15,census_vessel_import_weight,baltimore_md,1303,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,boston_ma,0401,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,charleston_sc,1601,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,houston_tx,5301,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,jacksonville_fl,1803,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,miami_fl,5201,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,mobile_al,1901,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,new_orleans_la,2002,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,new_york_new_jersey,1001;1003,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,norfolk_newport_news_va,1401,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,philadelphia_pa,1101,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,port_everglades_fl,5203,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,san_pedro_bay,2704;2709,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,savannah_ga,1703,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
g1-comparator-v1-2026-07-15,census_vessel_import_weight,wilmington_nc,1501,freight_port_calls,US Census International Trade Port-HS,https://api.census.gov/data/timeseries/intltrade/imports/porths,VES_WGT_MO,kg,imports_only,sum registered component-port values,2015-01:2024-12,2025-01:2025-12,registered_osf_vs9bu_activity_failed,Loaded import shipping weight is a physical activity proxy; it excludes exports domestic traffic and empty vessel calls.
