port_complex_id,port_area_status,spatial_assignment_status,conflicting_port_complex_ids
san_pedro_bay,available,assignable,
new_york_new_jersey,available,assignable,
savannah_ga,available,assignable,
norfolk_newport_news_va,available,assignable,
charleston_sc,available,assignable,
tacoma_wa,available,requires_finer_geometry,seattle_wa
houston_tx,available,assignable,
oakland_ca,available,requires_finer_geometry,san_francisco_ca
baltimore_md,available,assignable,
seattle_wa,available,requires_finer_geometry,tacoma_wa
miami_fl,available,assignable,
philadelphia_pa,available,assignable,
port_everglades_fl,available,assignable,
jacksonville_fl,available,assignable,
new_orleans_la,available,assignable,
mobile_al,available,assignable,
boston_ma,available,assignable,
chester_pa,unavailable,unavailable,
wilmington_nc,available,assignable,
san_francisco_ca,available,requires_finer_geometry,oakland_ca
