port_complex_id,status,usace_port_ids,exclusion_reason
san_pedro_bay,available,4120;4110,
new_york_new_jersey,available,398,
savannah_ga,available,776,
norfolk_newport_news_va,available,5700,
charleston_sc,available,775,
tacoma_wa,available,4719,
houston_tx,available,2031,
oakland_ca,available,4344,
baltimore_md,available,700,
seattle_wa,available,4722,
miami_fl,available,1992,
philadelphia_pa,available,552,
port_everglades_fl,available,1911,
jacksonville_fl,available,2017,
new_orleans_la,available,2251,
mobile_al,available,2032,
boston_ma,available,90,
chester_pa,unavailable,,No USACE Port Feature was returned for Chester PA during the 2026-07-13 source-service screen; fail the registered geometry-availability gate before AIS outcome access.
wilmington_nc,available,766,
san_francisco_ca,available,4335,
