port_complex_id,port_complex_name,coast,component_port_codes,geometry_version,source_vintage,operational_rule
aberdeen_hoquiam_wa,"Aberdeen-Hoquiam, Wa",Pacific,3003,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
alameda_ca,"Alameda, Ca",Pacific,2813,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
albany_ny,"Albany, Ny",Atlantic,1002,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
alexandria_va,"Alexandria, Va",Atlantic,5402,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
anacortes_wa,"Anacortes, Wa",Pacific,3010,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
annapolis_md,"Annapolis, Md",Atlantic,1301,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
astoria_or,"Astoria, Or",Pacific,2901,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
baltimore_md,"Baltimore, Md",Atlantic,1303,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
bangor_me,"Bangor, Me",Atlantic,0102,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
baton_rouge_la,"Baton Rouge, La",Gulf,2004,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
beaufort_morehead_city_nc,"Beaufort-Morehead City, Nc",Atlantic,1511,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
beaumont_tx,"Beaumont, Tx",Gulf,2104,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
bellingham_wa,"Bellingham, Wa",Pacific,3005,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
blaine_wa,"Blaine, Wa",Pacific,3004,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
boca_grande_fl,"Boca Grande, Fl",Gulf,1807,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
boston_ma,"Boston, Ma",Atlantic,0401,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
bridgeport_ct,"Bridgeport, Ct",Atlantic,0410,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
brownsville_tx,"Brownsville, Tx",Gulf,2301,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
brunswick_ga,"Brunswick, Ga",Atlantic,1701,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
calais_me,"Calais, Me",Atlantic,0115,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
cambridge_md,"Cambridge, Md",Atlantic,1302,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
camden_nj,"Camden, Nj",Atlantic,1107,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
carquinez_strait_ca,"Carquinez Strait, Ca",Pacific,2830,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
charleston_sc,"Charleston, Sc",Atlantic,1601,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
chester_pa,"Chester, Pa",Atlantic,1102,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
coos_bay_or,"Coos Bay, Or",Pacific,2903,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
corpus_christi_tx,"Corpus Christi, Tx",Gulf,5312,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,single_census_customs_port
