candidate_start_h,candidate_end_h,candidate_duration_h,n_context_pings,n_candidate_pings,max_gap_min,median_sog,p90_sog,stationary_share,moving_share,path_km,net_displacement_km,heading_variation,berth_fraction,anchor_fraction,blind_id
24.0,24.9336,0.9336,495,39,6.017,3.1,4.52,0.0,0.538,5.333,4.979,0.089,1.0,0.0,BLIND_001
24.0,28.3,4.3,723,87,60.0,0.1,0.2,1.0,0.0,0.675,0.262,0.836,0.0,1.0,BLIND_002
24.0,24.25,0.25,505,5,123.017,0.8,1.02,0.0,0.0,0.015,0.005,0.052,1.0,0.0,BLIND_003
24.0,181.7406,157.7406,2569,2049,579.983,0.0,0.0,1.0,0.0,1.182,0.001,0.926,1.0,0.0,BLIND_004
24.0,24.0,0.0,923,1,12.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BLIND_005
24.0,24.0389,0.0389,596,3,293.833,7.9,8.14,0.0,1.0,0.581,0.58,0.007,1.0,0.0,BLIND_006
24.0,46.0033,22.0033,432,4,1318.1,9.0,9.9,0.0,0.75,6.285,5.798,0.504,1.0,0.0,BLIND_007
24.0,43.2456,19.2456,634,286,126.017,0.1,0.1,1.0,0.0,2.197,0.178,0.701,0.0,1.0,BLIND_008
24.0,24.0,0.0,294,1,580.05,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_009
24.0,24.0,0.0,71,1,1010.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_010
24.0,24.0,0.0,1054,1,6.05,1.1,1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_011
24.0,24.0194,0.0194,333,2,790.383,1.9,3.02,0.0,0.5,0.025,0.025,0.365,1.0,0.0,BLIND_012
24.0,24.0,0.0,862,1,11.9,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_013
24.0,30.4503,6.4503,805,127,51.0,0.2,0.3,1.0,0.0,0.778,0.368,0.698,0.0,1.0,BLIND_014
24.0,24.3064,0.3064,184,17,662.533,7.0,9.7,0.0,1.0,4.253,3.953,0.072,1.0,0.0,BLIND_015
24.0,24.05,0.05,712,2,571.533,0.25,0.37,1.0,0.0,0.005,0.005,0.935,1.0,0.0,BLIND_016
24.0,29.6,5.6,500,111,126.0,0.0,0.1,1.0,0.0,0.326,0.002,0.398,1.0,0.0,BLIND_017
24.0,24.0,0.0,492,1,725.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,BLIND_018
24.0,24.05,0.05,505,2,123.017,0.55,0.59,0.0,0.0,0.001,0.001,0.0,1.0,0.0,BLIND_019
24.0,24.8336,0.8336,505,44,23.983,4.4,9.31,0.0,0.795,8.163,7.048,0.198,1.0,0.0,BLIND_020
24.0,24.0394,0.0394,484,3,17.933,0.4,0.4,1.0,0.0,0.028,0.028,0.001,0.0,1.0,BLIND_021
24.0,24.075,0.075,273,5,11.983,0.5,0.6,0.0,0.0,0.084,0.084,0.005,0.0,1.0,BLIND_022
24.0,24.0,0.0,931,1,39.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_023
24.0,24.0417,0.0417,489,3,6.0,0.6,0.6,0.0,0.0,0.042,0.042,0.004,0.0,1.0,BLIND_024
24.0,24.0,0.0,563,1,6.017,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,BLIND_025
24.0,24.0,0.0,684,1,15.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_026
24.0,28.0975,4.0975,235,83,69.0,0.1,0.2,1.0,0.0,0.407,0.089,0.827,0.0,1.0,BLIND_027
24.0,24.0,0.0,670,1,32.967,0.1,0.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,BLIND_028
