YearMonth,Port,status,seconds
2010-12,LA_Long_Beach,ok,17
2011-01,LA_Long_Beach,ok,38
2010-11,LA_Long_Beach,ok,52
2010-10,LA_Long_Beach,ok,52
2011-02,LA_Long_Beach,ok,51
2011-04,LA_Long_Beach,ok,40
2012-01,LA_Long_Beach,ok,30
2011-11,LA_Long_Beach,ok,56
2011-12,LA_Long_Beach,ok,54
2011-09,LA_Long_Beach,ok,79
2012-03,LA_Long_Beach,ok,46
2012-02,LA_Long_Beach,ok,51
2012-04,LA_Long_Beach,ok,43
2012-05,LA_Long_Beach,ok,82
2012-06,LA_Long_Beach,ok,69
2012-10,LA_Long_Beach,ok,39
2012-07,LA_Long_Beach,ok,103
2012-11,LA_Long_Beach,ok,30
2012-09,LA_Long_Beach,ok,99
2012-08,LA_Long_Beach,ok,146
2013-02,LA_Long_Beach,ok,45
2013-01,LA_Long_Beach,ok,65
2012-12,LA_Long_Beach,ok,95
2013-03,LA_Long_Beach,ok,52
2013-04,LA_Long_Beach,ok,45
2013-06,LA_Long_Beach,ok,61
2013-05,LA_Long_Beach,ok,73
2013-07,LA_Long_Beach,ok,100
2013-10,LA_Long_Beach,ok,58
2013-12,LA_Long_Beach,ok,45
2013-09,LA_Long_Beach,ok,116
2014-02,LA_Long_Beach,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,10
2014-01,LA_Long_Beach,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,11
2013-08,LA_Long_Beach,ok,146
2014-04,LA_Long_Beach,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,8
2014-03,LA_Long_Beach,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,8
2014-05,LA_Long_Beach,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2013-11,LA_Long_Beach,ok,100
2014-08,LA_Long_Beach,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,12
2014-07,LA_Long_Beach,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,14
2014-06,LA_Long_Beach,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,14
2014-09,LA_Long_Beach,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-10,LA_Long_Beach,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-11,LA_Long_Beach,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-12,LA_Long_Beach,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2010-10,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2010-09,Savannah,ok,131
2011-01,Savannah,ok,198
2010-11,Savannah,ok,230
2010-12,Savannah,ok,253
2011-02,Savannah,ok,169
2011-03,Savannah,ok,214
2011-05,Savannah,ok,221
2011-06,Savannah,ok,192
2011-04,Savannah,ok,329
2011-07,Savannah,ok,210
2011-09,Savannah,ok,192
2011-08,Savannah,ok,245
2011-10,Savannah,ok,187
2012-01,Savannah,ok,210
2012-02,Savannah,ok,213
2011-11,Savannah,ok,385
2011-12,Savannah,ok,369
2012-03,Savannah,ok,221
2012-06,Savannah,ok,236
2012-04,Savannah,ok,368
2012-05,Savannah,ok,330
2012-07,Savannah,ok,307
2012-08,Savannah,ok,273
2012-10,Savannah,ok,247
2012-09,Savannah,ok,292
2012-11,Savannah,ok,251
2013-01,Savannah,ok,252
2013-02,Savannah,ok,348
2012-12,Savannah,ok,408
2013-03,Savannah,ok,311
2013-04,Savannah,ok,276
2013-07,Savannah,ok,268
2013-06,Savannah,ok,322
2013-05,Savannah,ok,322
2013-08,Savannah,ok,248
2013-09,Savannah,ok,282
2014-01,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-02,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-03,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2013-12,Savannah,ok,239
2014-04,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,20
2014-05,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-06,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,23
2013-10,Savannah,ok,347
2014-07,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,24
2014-08,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,8
2014-09,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-10,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-11,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-12,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2010-10,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2013-11,Savannah,ok,395
2010-11,NY_NJ,ok,173
2011-02,NY_NJ,ok,240
2010-12,NY_NJ,ok,275
2011-01,NY_NJ,ok,312
2011-04,NY_NJ,ok,171
2011-08,NY_NJ,ok,301
2011-07,NY_NJ,ok,333
2011-10,NY_NJ,ok,334
2011-09,NY_NJ,ok,418
2011-11,NY_NJ,ok,238
2012-01,NY_NJ,ok,213
2011-12,NY_NJ,ok,332
2012-02,NY_NJ,ok,261
2012-03,NY_NJ,ok,284
2012-04,NY_NJ,ok,268
2012-05,NY_NJ,ok,336
2012-06,NY_NJ,ok,436
2012-08,NY_NJ,ok,322
2012-07,NY_NJ,ok,409
2012-09,NY_NJ,ok,321
2012-11,NY_NJ,ok,300
2012-12,NY_NJ,ok,324
2012-10,NY_NJ,ok,442
2013-01,NY_NJ,ok,315
2013-02,NY_NJ,ok,293
2013-04,NY_NJ,ok,253
2013-03,NY_NJ,ok,401
2013-05,NY_NJ,ok,414
2013-06,NY_NJ,ok,422
2013-07,NY_NJ,ok,434
2013-08,NY_NJ,ok,509
2013-09,NY_NJ,ok,523
2014-01,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,10
2014-02,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-03,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-04,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-05,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-06,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-07,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-08,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-09,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,22
2013-11,NY_NJ,ok,376
2014-10,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-11,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-12,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2013-12,NY_NJ,ok,263
2013-10,NY_NJ,ok,538
2010-09,Seattle,ok,322
2010-12,Seattle,ok,261
2010-10,Seattle,ok,373
2010-11,Seattle,ok,341
2011-01,Seattle,ok,230
2011-02,Seattle,ok,296
2011-03,Seattle,ok,344
2011-04,Seattle,ok,344
2011-05,Seattle,ok,315
2011-06,Seattle,ok,369
2011-07,Seattle,ok,337
2011-08,Seattle,ok,339
2011-09,Seattle,ok,395
2011-10,Seattle,ok,283
2011-12,Seattle,ok,361
2012-02,Seattle,ok,224
2011-11,Seattle,ok,495
2012-01,Seattle,ok,368
2012-03,Seattle,ok,323
2012-04,Seattle,ok,334
2012-05,Seattle,ok,396
2012-06,Seattle,ok,411
2012-07,Seattle,ok,450
2012-08,Seattle,ok,398
2012-09,Seattle,ok,424
2012-10,Seattle,ok,497
2012-12,Seattle,ok,324
2012-11,Seattle,ok,422
2013-02,Seattle,ok,274
2013-01,Seattle,ok,511
2013-04,Seattle,ok,424
2013-03,Seattle,ok,517
2013-05,Seattle,ok,500
2013-06,Seattle,ok,467
2013-07,Seattle,ok,513
2013-08,Seattle,ok,531
2013-09,Seattle,ok,506
2014-01,Seattle,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-02,Seattle,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-03,Seattle,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-04,Seattle,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-05,Seattle,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-06,Seattle,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,31
2013-10,Seattle,ok,541
2014-07,Seattle,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,10
2014-08,Seattle,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
2014-09,Seattle,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,7
