Port,YearMonth,UniqueVessels,MeanDwellDays,MedianDwellDays,StdDwellDays,MinDwellDays,MaxDwellDays,TotalObservations,AvgVesselLength,PortName,days_ok,days_total
Houston,2015-01,358,4.792479923184358,2.2992476851851853,6.303058513797381,0.026921296296296297,30.306909722222223,100099,185.90701117318437,Houston,31,31
LA_Long_Beach,2015-01,205,7.438795901084011,5.518541666666667,6.889828216343059,0.0008101851851851852,30.999594907407406,658649,249.9693170731707,LA_Long_Beach,31,31
NY_NJ,2015-01,235,3.257377413317573,1.1405787037037036,5.866860972130744,0.016655092592592593,30.03957175925926,98747,236.47582978723403,NY_NJ,31,31
Savannah,2015-01,147,1.8703324200050393,0.9817824074074074,3.6555301446197084,0.08207175925925926,28.10853009259259,109236,255.80625850340138,Savannah,31,31
Seattle,2015-01,108,6.202327246227709,4.156012731481482,7.1108742739448445,0.006099537037037037,30.999108796296298,215003,238.86861111111114,Seattle,31,31
Houston,2015-02,337,4.932298089075723,2.432233796296296,6.082906867887722,0.01664351851851852,27.998310185185186,90672,185.896706231454,Houston,28,28
LA_Long_Beach,2015-02,226,7.676772472140282,4.893460648148148,7.457610879913435,0.007916666666666667,27.999641203703703,788017,249.18190265486726,LA_Long_Beach,28,28
NY_NJ,2015-02,224,3.352608351934524,1.3440104166666667,5.608524503364514,0.016655092592592593,27.383831018518517,109528,234.50022321428574,NY_NJ,28,28
Savannah,2015-02,132,1.5612664842873176,0.9783564814814815,2.1308801489313094,0.04356481481481481,16.53556712962963,101312,251.31886363636366,Savannah,28,28
Seattle,2015-02,104,5.554373219373219,2.9965625,7.023719668404541,0.0030555555555555557,27.999224537037037,186515,243.87163461538464,Seattle,28,28
Houston,2015-03,355,4.80012242436098,2.325277777777778,6.3465379929018715,0.0,29.24474537037037,114590,186.11769014084507,Houston,31,31
LA_Long_Beach,2015-03,266,7.40823055903648,5.635908564814814,7.3078502290576495,0.0,30.999849537037036,846413,248.36819548872182,LA_Long_Beach,31,31
NY_NJ,2015-03,243,2.919143661408322,1.2393981481481482,5.145789572472133,0.0,28.93957175925926,108659,240.959341563786,NY_NJ,31,31
Savannah,2015-03,152,1.4910883436890838,1.0666030092592593,1.9804198102478976,0.037280092592592594,18.463229166666668,122302,249.25684210526316,Savannah,31,31
Seattle,2015-03,121,4.073238158096113,2.044224537037037,5.954729692250898,0.008101851851851851,30.99673611111111,140451,240.21438016528924,Seattle,31,31
Houston,2015-04,392,4.579226810515872,2.157019675925926,6.0860974892577735,0.026400462962962962,29.9990625,102927,185.96456632653062,Houston,30,30
LA_Long_Beach,2015-04,247,5.894291497975709,3.9521527777777776,6.781734527908699,0.0020833333333333333,29.99795138888889,616369,249.76607287449394,LA_Long_Beach,30,30
NY_NJ,2015-04,228,3.144162910168941,1.0841550925925927,5.677624462389409,0.016875,29.469953703703705,84935,238.8173245614035,NY_NJ,30,30
Savannah,2015-04,142,2.1443088973656756,1.0113483796296296,4.341558194178237,0.06146990740740741,28.516018518518518,108732,255.2311971830986,Savannah,30,30
Seattle,2015-04,109,4.195130287971457,1.9888310185185185,6.266667684240509,0.00800925925925926,29.997858796296295,81660,234.88871559633026,Seattle,30,30
Houston,2015-05,342,5.006651911414338,2.3969039351851853,6.647379318238103,0.0165625,30.993761574074075,100620,189.76903508771932,Houston,31,31
LA_Long_Beach,2015-05,244,5.567691494004251,3.499091435185185,6.922094129271391,0.24016203703703703,30.99858796296296,562260,246.71766393442624,LA_Long_Beach,31,31
NY_NJ,2015-05,242,3.2090948308846037,1.2091030092592594,5.936569613207916,0.0,30.99900462962963,88633,235.83694214876033,NY_NJ,31,31
Savannah,2015-05,165,1.662112724466891,1.0054166666666666,2.836662096980478,0.1797800925925926,29.009664351851853,127343,254.94848484848484,Savannah,31,31
Seattle,2015-05,113,4.104712082104228,1.6293171296296296,6.92595947168065,0.0,30.997939814814814,89200,238.03982300884957,Seattle,31,31
Houston,2015-06,345,4.950433340042942,2.346550925925926,6.3808178039237875,0.004618055555555556,28.02634259259259,79992,187.3779420289855,Houston,30,30
