YearMonth,days_total,days_ok,days_missing,days_error,sample_error
2015-01,31,31,0,0,
2015-02,28,28,0,0,
2015-03,31,31,0,0,
2015-04,30,30,0,0,
2015-05,31,31,0,0,
2015-06,30,30,0,0,
2015-07,31,31,0,0,
2015-08,31,31,0,0,
2015-09,30,30,0,0,
2015-10,31,31,0,0,
2015-11,30,30,0,0,
2015-12,31,31,0,0,
2016-01,31,31,0,0,
2016-02,29,29,0,0,
2016-03,31,31,0,0,
2016-04,30,30,0,0,
2016-05,31,31,0,0,
2016-06,30,30,0,0,
2016-07,31,31,0,0,
2016-08,31,31,0,0,
2016-09,30,30,0,0,
2016-10,31,31,0,0,
2016-11,30,30,0,0,
2016-12,31,31,0,0,
2017-01,31,31,0,0,
2017-02,28,28,0,0,
2017-03,31,31,0,0,
2017-04,30,30,0,0,
2017-05,31,31,0,0,
2017-06,30,30,0,0,
2017-07,31,31,0,0,
2017-08,31,31,0,0,
2017-09,30,30,0,0,
2017-10,31,31,0,0,
2017-11,30,30,0,0,
2017-12,31,31,0,0,
2018-01,31,31,0,0,
2018-02,28,28,0,0,
2018-03,31,31,0,0,
2018-04,30,30,0,0,
2018-05,31,31,0,0,
2018-06,30,30,0,0,
2018-07,31,31,0,0,
2018-08,31,31,0,0,
2018-09,30,30,0,0,
2018-10,31,31,0,0,
2018-11,30,30,0,0,
2018-12,31,31,0,0,
2019-01,31,31,0,0,
2019-02,28,28,0,0,
2019-03,31,31,0,0,
2019-04,30,30,0,0,
2019-05,31,31,0,0,
2019-06,30,30,0,0,
2019-07,31,31,0,0,
2019-08,31,31,0,0,
2019-09,30,30,0,0,
2019-10,31,31,0,0,
2019-11,30,30,0,0,
2019-12,31,31,0,0,
2020-01,31,31,0,0,
2020-02,29,29,0,0,
2020-03,31,31,0,0,
2020-04,30,30,0,0,
2020-05,31,31,0,0,
2020-06,30,30,0,0,
2020-07,31,31,0,0,
2020-08,31,31,0,0,
2020-09,30,30,0,0,
2020-10,31,31,0,0,
2020-11,30,30,0,0,
2020-12,31,31,0,0,
2021-01,31,31,0,0,
2021-02,28,28,0,0,
2021-03,31,31,0,0,
2021-04,30,30,0,0,
2021-05,31,13,0,18,download failed after 2 tries: [Errno 28] No space left on device
2021-06,30,21,0,9,download failed after 2 tries: [Errno 28] No space left on device
2021-07,31,31,0,0,
2021-08,31,31,0,0,
2021-09,30,30,0,0,
2021-10,31,31,0,0,
2021-11,30,30,0,0,
2021-12,31,31,0,0,
2022-01,31,31,0,0,
2022-02,28,28,0,0,
2022-03,31,31,0,0,
2022-04,30,30,0,0,
2022-05,31,31,0,0,
2022-06,30,30,0,0,
2022-07,31,31,0,0,
2022-08,31,31,0,0,
2022-09,30,21,0,9,download failed after 2 tries: [WinError 10054] An existing connection was forcibly closed by the remote host
2022-10,31,31,0,0,
2022-11,30,30,0,0,
2022-12,31,31,0,0,
2023-01,31,31,0,0,
2023-02,28,28,0,0,
2023-03,31,21,0,10,download failed after 2 tries: <urlopen error [Errno 11001] getaddrinfo failed>
2021-05,31,30,0,1,download failed after 2 tries: truncated download: 1179221 of 347136920 bytes
2021-06,30,30,0,0,
2022-09,30,30,0,0,
2023-03,31,31,0,0,
2021-05,31,31,0,0,
2023-04,30,30,0,0,
2023-05,31,0,0,31,download failed after 2 tries: <urlopen error [Errno 11001] getaddrinfo failed>
2023-06,30,0,0,30,download failed after 2 tries: truncated download: 81493 of 335300028 bytes
2023-07,31,0,0,31,download failed after 2 tries: <urlopen error [Errno 11001] getaddrinfo failed>
2023-08,31,0,0,31,download failed after 2 tries: <urlopen error [Errno 11001] getaddrinfo failed>
2023-09,30,0,0,30,download failed after 2 tries: <urlopen error [Errno 11001] getaddrinfo failed>
2023-05,31,0,0,31,download failed after 2 tries: exceeded 900s download budget
2023-05,31,20,0,11,download failed after 2 tries: The read operation timed out
2023-06,30,26,0,4,download failed after 2 tries: truncated download: 32341 of 331370759 bytes
2023-07,31,8,0,23,download failed after 2 tries: truncated download: 32341 of 377523138 bytes
2023-08,31,8,0,23,download failed after 2 tries: truncated download: 32341 of 362508596 bytes
2023-05,31,31,0,0,
2023-06,30,16,0,14,aria2 failed (1): [#ba72e9 0B/253MiB(0%) CN:16 DL:89KiB ETA:48m4s]                                                      
2023-07,31,3,0,28,aria2 failed (1): [#26f68f 0B/0B CN:1 DL:0B]                                                                            
2023-08,31,31,0,0,
2023-09,30,30,0,0,
2023-10,31,31,0,0,
2023-11,30,30,0,0,
2023-12,31,31,0,0,
2024-01,31,31,0,0,
2024-02,29,29,0,0,
2024-03,31,31,0,0,
2024-04,30,30,0,0,
2024-05,31,31,0,0,
2024-06,30,30,0,0,
2024-07,31,31,0,0,
2024-08,31,31,0,0,
2024-09,30,30,0,0,
2024-10,31,31,0,0,
2024-11,30,30,0,0,
2024-12,31,31,0,0,
2025-01,31,31,0,0,
2025-02,28,28,0,0,
2025-03,31,31,0,0,
2025-04,30,30,0,0,
2025-05,31,31,0,0,
2025-06,30,30,0,0,
2025-07,31,31,0,0,
2025-08,31,31,0,0,
2025-09,30,30,0,0,
2025-10,31,31,0,0,
2025-11,30,30,0,0,
2025-12,31,31,0,0,
2023-06,30,30,0,0,
2023-07,31,31,0,0,
2023-07,31,31,0,0,
