Port,YearMonth,UniqueVessels,MeanDwellDays,MedianDwellDays,StdDwellDays,MinDwellDays,MaxDwellDays,TotalObservations,AvgVesselLength,PortName,days_ok,days_total
Houston,2015-01,358,4.792479923184358,2.2992476851851853,6.303058513797381,0.0269212962962962,30.306909722222223,100099,185.9070111731844,Houston,31,31
LA_Long_Beach,2015-01,205,7.438795901084011,5.518541666666667,6.889828216343058,0.0008101851851851,30.99959490740741,658649,249.9693170731707,LA_Long_Beach,31,31
NY_NJ,2015-01,235,3.257377413317573,1.1405787037037036,5.866860972130745,0.0166550925925925,30.03957175925926,98747,236.47582978723403,NY_NJ,31,31
Savannah,2015-01,147,1.8703324200050395,0.9817824074074074,3.655530144619709,0.0820717592592592,28.10853009259259,109236,255.80625850340132,Savannah,31,31
Seattle,2015-01,108,6.202327246227709,4.156012731481482,7.110874273944848,0.006099537037037,30.99910879629629,215003,238.8686111111112,Seattle,31,31
Houston,2015-02,337,4.932298089075723,2.432233796296296,6.082906867887721,0.0166435185185185,27.998310185185183,90672,185.896706231454,Houston,28,28
LA_Long_Beach,2015-02,226,7.676772472140282,4.893460648148148,7.457610879913433,0.0079166666666666,27.999641203703703,788017,249.1819026548673,LA_Long_Beach,28,28
NY_NJ,2015-02,224,3.352608351934524,1.3440104166666669,5.608524503364514,0.0166550925925925,27.38383101851852,109528,234.5002232142857,NY_NJ,28,28
Savannah,2015-02,132,1.5612664842873176,0.9783564814814816,2.1308801489313103,0.0435648148148148,16.53556712962963,101312,251.3188636363637,Savannah,28,28
Seattle,2015-02,104,5.554373219373219,2.9965625,7.023719668404542,0.0030555555555555,27.99922453703704,186515,243.87163461538464,Seattle,28,28
Houston,2015-03,355,4.80012242436098,2.325277777777778,6.346537992901872,0.0,29.24474537037037,114590,186.11769014084507,Houston,31,31
LA_Long_Beach,2015-03,266,7.408230559036481,5.635908564814814,7.307850229057654,0.0,30.99984953703704,846413,248.36819548872185,LA_Long_Beach,31,31
NY_NJ,2015-03,243,2.919143661408322,1.2393981481481482,5.145789572472133,0.0,28.93957175925926,108659,240.959341563786,NY_NJ,31,31
Savannah,2015-03,152,1.4910883436890838,1.066603009259259,1.9804198102478976,0.0372800925925925,18.463229166666668,122302,249.2568421052632,Savannah,31,31
Seattle,2015-03,121,4.073238158096113,2.044224537037037,5.954729692250899,0.0081018518518518,30.99673611111111,140451,240.21438016528924,Seattle,31,31
Houston,2015-04,392,4.579226810515872,2.157019675925926,6.086097489257772,0.0264004629629629,29.9990625,102927,185.96456632653064,Houston,30,30
LA_Long_Beach,2015-04,247,5.894291497975709,3.9521527777777776,6.781734527908698,0.0020833333333333,29.99795138888889,616369,249.766072874494,LA_Long_Beach,30,30
NY_NJ,2015-04,228,3.144162910168941,1.084155092592593,5.677624462389411,0.016875,29.469953703703705,84935,238.8173245614035,NY_NJ,30,30
Savannah,2015-04,142,2.144308897365676,1.0113483796296296,4.341558194178235,0.0614699074074074,28.51601851851852,108732,255.2311971830986,Savannah,30,30
Seattle,2015-04,109,4.195130287971458,1.9888310185185183,6.26666768424051,0.0080092592592592,29.99785879629629,81660,234.88871559633023,Seattle,30,30
Houston,2015-05,342,5.006651911414338,2.3969039351851853,6.647379318238103,0.0165625,30.993761574074075,100620,189.7690350877193,Houston,31,31
LA_Long_Beach,2015-05,244,5.567691494004251,3.499091435185185,6.922094129271391,0.240162037037037,30.99858796296296,562260,246.71766393442624,LA_Long_Beach,31,31
NY_NJ,2015-05,242,3.209094830884604,1.2091030092592594,5.936569613207916,0.0,30.99900462962963,88633,235.8369421487604,NY_NJ,31,31
Savannah,2015-05,165,1.662112724466891,1.0054166666666666,2.8366620969804788,0.1797800925925926,29.009664351851853,127343,254.94848484848484,Savannah,31,31
Seattle,2015-05,113,4.104712082104228,1.6293171296296296,6.925959471680653,0.0,30.997939814814814,89200,238.0398230088496,Seattle,31,31
Houston,2015-06,345,4.950433340042942,2.346550925925926,6.380817803923787,0.0046180555555555,28.02634259259259,79992,187.3779420289855,Houston,30,30
LA_Long_Beach,2015-06,238,4.70243614807034,2.685954861111111,6.1875754307548,0.0254398148148148,29.99859953703704,477737,244.17575630252105,LA_Long_Beach,30,30
NY_NJ,2015-06,238,2.7565842864923744,1.209045138888889,4.803511595584539,0.0038310185185185,29.230185185185185,76838,235.0097478991597,NY_NJ,30,30
Savannah,2015-06,154,1.3903223454785951,0.9818287037037036,1.8968237201655604,0.0329513888888888,11.856574074074071,113643,253.29545454545453,Savannah,30,30
Seattle,2015-06,107,3.904563754759432,1.8886921296296293,6.554787756023752,0.0007060185185185,29.999328703703704,67752,237.1821495327103,Seattle,30,30
Houston,2015-07,334,4.625818848414283,2.160972222222222,6.291812314635904,0.0100578703703703,28.83505787037037,87168,188.45778443113767,Houston,31,31
LA_Long_Beach,2015-07,244,5.345124041818457,3.017297453703704,7.179822222256028,0.0144560185185185,30.99917824074074,501059,252.9234836065574,LA_Long_Beach,31,31
NY_NJ,2015-07,245,3.156877739984883,1.169699074074074,5.88765690289758,0.0118171296296296,30.39976851851852,82225,239.600612244898,NY_NJ,31,31
Savannah,2015-07,162,1.9592834790809328,0.8556770833333334,4.36901477193042,0.0891203703703703,28.52880787037037,107887,258.056975308642,Savannah,31,31
Seattle,2015-07,95,4.037801900584795,1.64,7.0690708887589295,0.0021643518518518,30.99716435185185,57667,247.9711578947368,Seattle,31,31
Houston,2015-08,358,4.658898167546038,2.1728819444444443,6.498263243147472,0.0007060185185185,30.99864583333333,83588,185.21969273743017,Houston,31,31
LA_Long_Beach,2015-08,239,4.6581472280334735,2.803298611111111,6.02310501904086,0.0933101851851851,30.997916666666665,443757,254.32117154811715,LA_Long_Beach,31,31
