YearMonth,Port,status,seconds
2009-02,LA_Long_Beach,ok,75
2009-01,LA_Long_Beach,ok,75
2009-04,LA_Long_Beach,ok,76
2009-03,LA_Long_Beach,ok,76
2009-06,LA_Long_Beach,ok,14
2009-05,LA_Long_Beach,ok,90
2009-07,LA_Long_Beach,ok,91
2009-08,LA_Long_Beach,ok,91
2009-09,LA_Long_Beach,ok,78
2009-11,LA_Long_Beach,ok,108
2010-01,LA_Long_Beach,ok,108
2009-12,LA_Long_Beach,ok,109
2009-10,LA_Long_Beach,ok,111
2010-02,LA_Long_Beach,ok,73
2010-04,LA_Long_Beach,ok,73
2010-05,LA_Long_Beach,ok,73
2010-03,LA_Long_Beach,ok,73
2010-06,LA_Long_Beach,ok,49
2010-10,LA_Long_Beach,ok,35
2010-08,LA_Long_Beach,ok,85
2010-07,LA_Long_Beach,ok,85
2010-09,LA_Long_Beach,ok,85
2010-12,LA_Long_Beach,ok,50
2011-01,LA_Long_Beach,ok,50
2010-11,LA_Long_Beach,ok,52
2011-02,LA_Long_Beach,ok,50
2011-03,LA_Long_Beach,ok,77
2011-04,LA_Long_Beach,ok,77
2011-06,LA_Long_Beach,ok,77
2011-05,LA_Long_Beach,ok,77
2011-09,LA_Long_Beach,ok,81
2011-10,LA_Long_Beach,ok,81
2011-07,LA_Long_Beach,ok,82
2011-08,LA_Long_Beach,ok,82
2011-11,LA_Long_Beach,ok,57
2012-02,LA_Long_Beach,ok,58
2012-01,LA_Long_Beach,ok,58
2011-12,LA_Long_Beach,ok,58
2012-03,LA_Long_Beach,ok,52
2012-04,LA_Long_Beach,ok,65
2012-05,LA_Long_Beach,ok,74
2012-06,LA_Long_Beach,ok,81
2012-07,LA_Long_Beach,ok,123
2012-10,LA_Long_Beach,ok,92
2012-08,LA_Long_Beach,ok,109
2012-09,LA_Long_Beach,ok,100
2013-02,LA_Long_Beach,ok,61
2013-01,LA_Long_Beach,ok,72
2012-11,LA_Long_Beach,ok,74
2012-12,LA_Long_Beach,ok,74
2013-03,LA_Long_Beach,ok,37
2013-04,LA_Long_Beach,ok,49
2013-05,LA_Long_Beach,ok,59
2013-06,LA_Long_Beach,ok,80
2013-07,LA_Long_Beach,ok,93
2013-08,LA_Long_Beach,ok,91
2013-09,LA_Long_Beach,ok,109
2013-10,LA_Long_Beach,ok,129
2013-12,LA_Long_Beach,ok,72
2013-11,LA_Long_Beach,ok,93
2014-01,LA_Long_Beach,ok,104
2014-02,LA_Long_Beach,ok,155
2014-03,LA_Long_Beach,ok,156
2014-04,LA_Long_Beach,ok,156
2014-05,LA_Long_Beach,ok,94
2014-06,LA_Long_Beach,ok,32
2014-10,LA_Long_Beach,ok,30
2014-09,LA_Long_Beach,ok,62
2014-08,LA_Long_Beach,ok,62
2014-07,LA_Long_Beach,ok,62
2014-11,LA_Long_Beach,ok,32
2014-12,LA_Long_Beach,ok,177
2009-02,Savannah,ok,228
2009-03,Savannah,ok,196
2009-01,Savannah,ok,228
2009-06,Savannah,ok,38
2009-04,Savannah,ok,149
2009-07,Savannah,ok,193
2009-05,Savannah,ok,221
2009-08,Savannah,ok,183
2009-09,Savannah,ok,161
2009-10,Savannah,ok,203
2010-01,Savannah,ok,206
2009-11,Savannah,ok,244
2009-12,Savannah,ok,244
2010-02,Savannah,ok,108
2010-03,Savannah,ok,233
2010-05,Savannah,ok,233
2010-06,Savannah,ok,194
2010-04,Savannah,ok,233
2010-10,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,9
2010-08,Savannah,ok,192
2010-09,Savannah,ok,192
2010-11,Savannah,ok,216
2010-07,Savannah,ok,227
