YearMonth,Port,status,seconds
2009-03,LA_Long_Beach,ok,175
2009-01,LA_Long_Beach,ok,213
2009-04,LA_Long_Beach,ok,214
2009-02,LA_Long_Beach,ok,215
2009-06,LA_Long_Beach,ok,69
2009-05,LA_Long_Beach,ok,126
2009-07,LA_Long_Beach,ok,228
2009-08,LA_Long_Beach,ok,299
2009-11,LA_Long_Beach,ok,73
2009-09,LA_Long_Beach,ok,231
2009-10,LA_Long_Beach,ok,213
2010-03,LA_Long_Beach,ok,142
2010-02,LA_Long_Beach,ok,144
2010-01,LA_Long_Beach,ok,144
2009-12,LA_Long_Beach,ok,145
2010-05,LA_Long_Beach,ok,114
2010-04,LA_Long_Beach,ok,118
2010-06,LA_Long_Beach,ok,116
2010-07,LA_Long_Beach,ok,116
2010-11,LA_Long_Beach,ok,127
2010-10,LA_Long_Beach,ok,128
2010-09,LA_Long_Beach,ok,131
2010-08,LA_Long_Beach,ok,133
2010-12,LA_Long_Beach,ok,100
2011-01,LA_Long_Beach,ok,125
2011-03,LA_Long_Beach,ok,123
2011-04,LA_Long_Beach,ok,48
2011-02,LA_Long_Beach,ok,202
2011-06,LA_Long_Beach,ok,124
2011-05,LA_Long_Beach,ok,125
2011-07,LA_Long_Beach,ok,160
2011-08,LA_Long_Beach,ok,105
2011-12,LA_Long_Beach,ok,77
2011-11,LA_Long_Beach,ok,79
2011-09,LA_Long_Beach,ok,137
2011-10,LA_Long_Beach,ok,137
2012-03,LA_Long_Beach,ok,142
2012-01,LA_Long_Beach,ok,143
2012-04,LA_Long_Beach,ok,142
2012-02,LA_Long_Beach,ok,143
2012-06,LA_Long_Beach,ok,166
2012-05,LA_Long_Beach,ok,169
2012-07,LA_Long_Beach,ok,169
2012-08,LA_Long_Beach,ok,170
2012-12,LA_Long_Beach,ok,159
2012-11,LA_Long_Beach,ok,160
2012-10,LA_Long_Beach,ok,161
2012-09,LA_Long_Beach,ok,164
2013-02,LA_Long_Beach,ok,106
2013-01,LA_Long_Beach,ok,107
2013-04,LA_Long_Beach,ok,106
2013-03,LA_Long_Beach,ok,107
2013-05,LA_Long_Beach,ok,74
2013-06,LA_Long_Beach,ok,124
2013-07,LA_Long_Beach,ok,125
2013-08,LA_Long_Beach,ok,126
2013-09,LA_Long_Beach,ok,105
2013-12,LA_Long_Beach,ok,77
2014-02,LA_Long_Beach,ok,98
2013-11,LA_Long_Beach,ok,176
2014-01,LA_Long_Beach,ok,124
2013-10,LA_Long_Beach,ok,179
2014-06,LA_Long_Beach,ok,32
2014-07,LA_Long_Beach,ok,96
2014-05,LA_Long_Beach,ok,131
2014-03,LA_Long_Beach,ok,133
2014-04,LA_Long_Beach,ok,133
2014-11,LA_Long_Beach,ok,44
2014-08,LA_Long_Beach,ok,73
2014-09,LA_Long_Beach,ok,72
2014-10,LA_Long_Beach,ok,71
2014-12,LA_Long_Beach,ok,93
2009-02,Savannah,ok,195
2009-03,Savannah,ok,196
2009-01,Savannah,ok,196
2009-06,Savannah,ok,56
2009-04,Savannah,ok,248
2009-07,Savannah,ok,212
2009-08,Savannah,ok,178
2009-05,Savannah,ok,274
2009-09,Savannah,ok,200
2009-10,Savannah,ok,288
2009-11,Savannah,ok,294
2010-01,Savannah,ok,247
2009-12,Savannah,ok,292
2010-02,Savannah,ok,225
2010-03,Savannah,ok,213
2010-04,Savannah,ok,281
2010-05,Savannah,ok,311
2010-06,Savannah,ok,309
2010-07,Savannah,ok,294
2010-10,Savannah,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,9
2010-08,Savannah,ok,247
2010-09,Savannah,ok,259
2010-11,Savannah,ok,427
2011-01,Savannah,ok,368
2011-02,Savannah,ok,326
2010-12,Savannah,ok,419
2011-06,Savannah,ok,437
2011-03,Savannah,ok,498
2011-04,Savannah,ok,498
2011-05,Savannah,ok,560
2011-07,Savannah,ok,287
2011-09,Savannah,ok,276
2011-08,Savannah,ok,277
2011-10,Savannah,ok,276
2011-11,Savannah,ok,284
2012-01,Savannah,ok,273
2011-12,Savannah,ok,274
2012-02,Savannah,ok,230
2012-03,Savannah,ok,241
2012-04,Savannah,ok,327
2012-05,Savannah,ok,327
2012-06,Savannah,ok,309
2012-07,Savannah,ok,156
2012-09,Savannah,ok,462
2012-10,Savannah,ok,533
2012-08,Savannah,ok,533
2012-11,Savannah,ok,504
2012-12,Savannah,ok,330
2013-02,Savannah,ok,379
2013-01,Savannah,ok,479
2013-03,Savannah,ok,506
2013-04,Savannah,ok,547
2013-07,Savannah,ok,341
2013-06,Savannah,ok,574
2013-05,Savannah,ok,674
2013-08,Savannah,ok,293
2013-09,Savannah,ok,353
2013-11,Savannah,ok,406
2013-12,Savannah,ok,436
2014-01,Savannah,ok,335
2013-10,Savannah,ok,482
2014-02,Savannah,ok,166
2014-03,Savannah,ok,332
2014-04,Savannah,ok,420
2014-06,Savannah,ok,330
2014-05,Savannah,ok,420
2014-07,Savannah,ok,113
2014-09,Savannah,empty,66
2014-11,Savannah,ok,67
2014-10,Savannah,ok,91
2014-08,Savannah,ok,108
2009-02,NY_NJ,ok,343
2009-03,NY_NJ,ok,327
2009-01,NY_NJ,ok,343
2014-12,Savannah,ok,400
2009-06,NY_NJ,ok,40
2009-05,NY_NJ,ok,314
2009-04,NY_NJ,ok,363
2009-07,NY_NJ,ok,381
2009-08,NY_NJ,ok,372
2009-09,NY_NJ,ok,276
2009-10,NY_NJ,ok,258
2009-11,NY_NJ,ok,301
2009-12,NY_NJ,ok,302
2010-02,NY_NJ,ok,185
2010-01,NY_NJ,ok,216
2010-04,NY_NJ,ok,259
2010-03,NY_NJ,ok,260
2010-05,NY_NJ,ok,314
2010-06,NY_NJ,ok,314
2010-10,NY_NJ,missing:download failed after 2 tries: HTTP Error 404: The requested content doe,8
2010-08,NY_NJ,ok,273
2010-07,NY_NJ,ok,273
2010-11,NY_NJ,ok,302
2010-09,NY_NJ,ok,311
2011-01,NY_NJ,ok,261
2010-12,NY_NJ,ok,262
2011-02,NY_NJ,ok,230
2011-03,NY_NJ,ok,285
2011-04,NY_NJ,ok,306
2011-05,NY_NJ,ok,350
