port_complex_id,year_month,unique_cargo_vessels,n_with_size,dwt_proxy_sum,deck_area_sum
baltimore_md,2015-01,107,80,6935275.7299999995,599865.0
baltimore_md,2015-02,108,91,6934672.739999999,620834.0
baltimore_md,2015-03,120,98,8355859.489999999,725155.0
baltimore_md,2015-04,109,82,6976431.85,608819.0
baltimore_md,2015-05,108,90,7946737.61,676741.0
baltimore_md,2015-06,111,95,7165207.359999999,655958.0
baltimore_md,2015-07,104,89,6498915.4,605193.0
baltimore_md,2015-08,104,84,6712946.76,586803.0
baltimore_md,2015-09,98,87,7445186.72,640732.0
baltimore_md,2015-10,98,90,6952429.99,638196.0
baltimore_md,2015-11,85,68,5575706.949999999,485292.0
baltimore_md,2015-12,101,88,7132536.48,626068.0
baltimore_md,2016-01,95,84,6861851.639999999,598471.0
baltimore_md,2016-02,50,45,3839603.4200000004,320066.0
baltimore_md,2016-03,66,55,4601199.92,398297.0
baltimore_md,2016-04,60,49,3939750.8400000003,357854.0
baltimore_md,2016-05,104,89,8058549.500000001,677133.0
baltimore_md,2016-06,90,78,6741333.26,574578.0
baltimore_md,2016-07,88,81,6969168.61,613516.0
baltimore_md,2016-08,102,94,8274939.139999999,701936.0
baltimore_md,2016-09,91,78,6757907.24,577349.0
baltimore_md,2016-10,97,89,7221804.279999999,626056.0
baltimore_md,2016-11,84,71,6313568.739999999,536346.0
baltimore_md,2016-12,86,79,6764022.37,586988.0
baltimore_md,2017-01,80,77,7040275.0200000005,590379.0
baltimore_md,2017-02,77,70,6465497.7,540325.0
baltimore_md,2017-03,88,76,6475244.319999999,562183.0
baltimore_md,2017-04,85,72,6316989.18,533004.0
baltimore_md,2017-05,90,78,7433469.28,623534.0
baltimore_md,2017-06,82,77,7495329.639999999,614094.0
baltimore_md,2017-07,84,75,6956529.94,575262.0
baltimore_md,2017-08,87,82,8363447.720000001,667809.0
baltimore_md,2017-09,91,84,8330635.700000001,674373.0
baltimore_md,2017-10,96,83,7766864.02,633609.0
baltimore_md,2017-11,86,77,7954438.319999999,643961.0
baltimore_md,2017-12,93,82,7601365.819999999,632525.0
baltimore_md,2018-01,139,113,9785366.06,826186.0
baltimore_md,2018-02,130,110,9734782.4,792930.0
baltimore_md,2018-03,152,126,11300078.22,938231.0
baltimore_md,2018-04,155,133,11433231.600000003,943403.0
baltimore_md,2018-05,154,129,12150526.700000003,980033.0
baltimore_md,2018-06,156,127,10831427.19,906464.0
baltimore_md,2018-07,142,121,10726459.2,876428.0
baltimore_md,2018-08,154,130,11009385.300000003,919199.0
baltimore_md,2018-09,137,119,10377692.3,858886.0
baltimore_md,2018-10,131,111,9886516.9,815703.0
baltimore_md,2018-11,151,132,10508256.5,912028.0
baltimore_md,2018-12,135,126,10770799.7,905170.0
baltimore_md,2019-01,142,118,10426984.94,856240.0
baltimore_md,2019-02,130,110,10248994.599999996,837242.0
baltimore_md,2019-03,154,131,11453483.700000003,961951.0
baltimore_md,2019-04,138,115,10397508.7,864413.0
baltimore_md,2019-05,140,113,10740216.799999999,867843.0
baltimore_md,2019-06,129,115,10350392.92,845833.0
baltimore_md,2019-07,137,118,10453149.399999999,855767.0
baltimore_md,2019-08,140,127,10500670.0,875489.0
baltimore_md,2019-09,120,107,9598974.200000001,780099.0
baltimore_md,2019-10,128,111,9605498.190000001,820641.0
baltimore_md,2019-11,129,112,9481373.190000001,799602.0
baltimore_md,2019-12,124,105,8060905.9,702412.0
baltimore_md,2020-01,118,100,8657465.2,719121.0
baltimore_md,2020-02,121,107,8981470.94,753684.0
baltimore_md,2020-03,120,101,8482548.899999999,712081.0
baltimore_md,2020-04,116,104,8971412.100000001,737611.0
baltimore_md,2020-05,92,86,7127111.600000001,596402.0
baltimore_md,2020-06,98,85,6921577.7,592888.0
baltimore_md,2020-07,111,103,8524947.5,724147.0
baltimore_md,2020-08,123,112,9531393.72,813887.0
baltimore_md,2020-09,115,100,9325049.700000001,773139.0
baltimore_md,2020-10,126,113,9425261.0,818378.0
baltimore_md,2020-11,110,93,7896711.2,682347.0
baltimore_md,2020-12,123,110,9452958.6,817580.0
baltimore_md,2021-01,117,105,8427559.7,744997.0
baltimore_md,2021-02,97,83,7446530.500000001,612938.0
baltimore_md,2021-03,133,119,9374361.4,814086.0
baltimore_md,2021-04,155,131,10844992.099999998,954460.0
baltimore_md,2021-05,150,130,11211561.700000001,973537.0
baltimore_md,2021-06,155,141,12649464.899999999,1071099.0
baltimore_md,2021-07,135,118,9829222.500000002,873891.0
baltimore_md,2021-08,148,126,10951960.800000003,958873.0
baltimore_md,2021-09,146,129,10978453.5,964391.0
baltimore_md,2021-10,147,124,10355844.6,926765.0
baltimore_md,2021-11,146,125,11055092.5,962560.0
baltimore_md,2021-12,157,134,12162899.399999999,1055527.0
baltimore_md,2022-01,143,122,10257331.500000002,909144.0
baltimore_md,2022-02,143,118,9947521.6,876260.0
baltimore_md,2022-03,167,147,12333269.600000003,1100779.0
baltimore_md,2022-04,154,136,11179410.6,1000724.0
baltimore_md,2022-05,155,134,11871705.7,1016334.0
baltimore_md,2022-06,171,146,12647673.599999998,1103106.0
baltimore_md,2022-07,149,129,10141987.0,916117.0
baltimore_md,2022-08,153,136,10914220.2,992099.0
baltimore_md,2022-09,147,123,10339677.100000001,929523.0
baltimore_md,2022-10,153,132,11677687.819999997,1022445.0
baltimore_md,2022-11,139,118,10546496.9,909410.0
baltimore_md,2022-12,159,141,11627227.500000002,1040130.0
baltimore_md,2023-01,173,145,13137494.900000002,1156406.0
baltimore_md,2023-02,153,130,10655286.3,955918.0
baltimore_md,2023-03,160,132,12088248.900000002,1053665.0
baltimore_md,2023-04,167,139,12443170.700000001,1085749.0
baltimore_md,2023-05,168,136,11770791.4,1039709.0
baltimore_md,2023-06,177,147,13533073.700000001,1182385.0
baltimore_md,2023-07,167,145,12982838.700000001,1163858.0
