port_complex_id,year_month,unique_vessels,unique_cargo_vessels,n_pings,days_sampled,ship_days,port_calls,cargo_port_calls,freight_port_calls
baltimore_md,2015-01,111,107,121633,31,278.2794097222223,116,112,116
baltimore_md,2015-02,114,108,140496,28,342.25400462962983,115,110,115
baltimore_md,2015-03,127,120,152070,31,337.94454861111114,130,123,130
baltimore_md,2015-04,114,109,133748,30,320.05615740740734,112,108,112
baltimore_md,2015-05,115,108,139270,31,334.00839120370364,115,108,115
baltimore_md,2015-06,125,111,140093,30,350.186400462963,125,111,125
baltimore_md,2015-07,109,104,134653,31,326.95774305555557,113,108,113
baltimore_md,2015-08,114,104,129018,31,319.67282407407413,113,104,113
baltimore_md,2015-09,106,98,98837,30,262.8589583333333,104,95,104
baltimore_md,2015-10,103,98,121925,31,294.17504629629633,101,96,101
baltimore_md,2015-11,91,85,69904,30,235.55800925925922,96,90,96
baltimore_md,2015-12,106,101,81148,31,228.90623842592595,106,101,106
baltimore_md,2016-01,103,95,120822,31,335.96064814814815,109,100,109
baltimore_md,2016-02,51,50,44589,17,74.57423611111109,47,46,47
baltimore_md,2016-03,69,66,75588,24,153.82909722222223,73,70,73
baltimore_md,2016-04,67,60,48087,26,95.69749999999998,67,60,67
baltimore_md,2016-05,115,104,108711,31,234.969675925926,121,110,121
baltimore_md,2016-06,100,90,93466,30,280.63458333333347,100,89,100
baltimore_md,2016-07,94,88,84240,31,180.6976967592592,94,88,94
baltimore_md,2016-08,110,102,116872,31,355.0752893518518,116,108,116
baltimore_md,2016-09,103,91,119317,30,312.70344907407406,101,86,101
baltimore_md,2016-10,106,97,120720,31,310.0209374999999,105,98,105
baltimore_md,2016-11,95,84,105406,30,276.4960879629629,95,84,95
baltimore_md,2016-12,96,86,103701,31,327.8384953703702,102,93,102
baltimore_md,2017-01,87,80,89498,31,183.96665509259253,84,77,84
baltimore_md,2017-02,81,77,86995,28,208.15878472222224,76,72,76
baltimore_md,2017-03,91,88,109190,31,256.3116435185185,95,92,95
baltimore_md,2017-04,92,85,96733,30,245.9083912037038,90,83,90
baltimore_md,2017-05,98,90,94590,31,233.62716435185183,98,91,98
baltimore_md,2017-06,88,82,92653,30,194.78497685185187,84,78,84
baltimore_md,2017-07,89,84,94747,31,226.36925925925922,91,85,91
baltimore_md,2017-08,92,87,108549,31,256.67427083333337,91,86,91
baltimore_md,2017-09,97,91,98172,30,311.50002314814816,100,92,100
baltimore_md,2017-10,99,96,99932,31,200.47239583333337,96,93,96
baltimore_md,2017-11,91,86,98157,30,202.7765740740741,85,80,85
baltimore_md,2017-12,96,93,117868,31,279.369826388889,94,92,94
baltimore_md,2018-01,142,139,201730,31,457.94540509259286,141,138,141
baltimore_md,2018-02,141,130,186520,28,406.3201273148148,137,127,137
baltimore_md,2018-03,165,152,222212,31,545.6131944444445,169,158,169
baltimore_md,2018-04,162,155,200675,30,527.1470601851854,166,160,166
baltimore_md,2018-05,167,154,241925,31,567.268622685185,159,146,159
baltimore_md,2018-06,162,156,216131,30,543.0179513888888,158,151,158
baltimore_md,2018-07,149,142,226824,31,534.1643518518517,146,138,146
baltimore_md,2018-08,163,154,239797,31,543.2328819444447,165,157,165
baltimore_md,2018-09,148,137,218649,30,501.09607638888883,142,131,142
baltimore_md,2018-10,138,131,217256,31,543.5178587962962,137,129,137
baltimore_md,2018-11,155,151,214110,30,493.115914351852,148,144,148
baltimore_md,2018-12,148,135,255448,31,652.3398611111111,145,132,145
baltimore_md,2019-01,153,142,236503,31,454.3401157407409,145,135,145
baltimore_md,2019-02,137,130,224495,28,457.32292824074085,125,117,125
baltimore_md,2019-03,158,154,211646,31,458.0839120370371,149,145,149
baltimore_md,2019-04,148,138,217249,30,443.5488888888889,145,135,145
baltimore_md,2019-05,149,140,238908,31,510.0531365740743,149,139,149
baltimore_md,2019-06,136,129,208931,30,479.5196990740741,139,132,139
baltimore_md,2019-07,145,137,223130,31,516.4689699074074,147,138,147
baltimore_md,2019-08,147,140,224805,31,519.9964004629632,144,138,144
baltimore_md,2019-09,130,120,194491,30,484.74031249999985,130,121,130
baltimore_md,2019-10,136,128,181964,31,481.6564583333332,130,122,130
baltimore_md,2019-11,135,129,199434,30,449.8205902777778,127,121,127
baltimore_md,2019-12,131,124,214321,31,571.7043055555554,127,119,127
baltimore_md,2020-01,122,118,182418,31,505.7497106481481,121,117,121
baltimore_md,2020-02,129,121,195739,29,523.3156597222224,126,118,126
baltimore_md,2020-03,125,120,210122,31,538.516898148148,122,117,122
baltimore_md,2020-04,122,116,205178,30,462.6558680555558,117,111,117
baltimore_md,2020-05,99,92,222846,31,491.809375,94,85,94
