rank,port_complex_id,port_complex_name,coast,component_port_codes,geometry_version,source_vintage,ranking_value_2017_2019,cumulative_share,inclusion_status,inclusion_reason
1,san_pedro_bay,San Pedro Bay (Los Angeles/Long Beach),Pacific,2704;2709,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,286294960801.6667,0.36568157992223,included,top_20
2,new_york_new_jersey,Port of New York and New Jersey,Atlantic,1001;1003,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,127269614832.66666,0.5282417371034258,included,top_20
3,savannah_ga,"Savannah, Ga",Atlantic,1703,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,67355579126.0,0.6142743187541926,included,top_20
4,norfolk_newport_news_va,"Norfolk-Newport News, Va",Atlantic,1401,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,46619801623.0,0.673821307165804,included,top_20
5,charleston_sc,"Charleston, Sc",Atlantic,1601,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,43508895710.333336,0.7293947677655814,included,top_20
6,tacoma_wa,"Tacoma, Wa",Pacific,3002,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,35608416917.666664,0.7748770288592457,included,top_20
7,houston_tx,"Houston, Tx",Gulf,5301,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,35478150631.333336,0.8201929021783451,included,top_20
8,oakland_ca,"Oakland, Ca",Pacific,2811,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,27689589936.0,0.8555605278146543,included,top_20
9,baltimore_md,"Baltimore, Md",Atlantic,1303,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,19581904375.0,0.8805722908917442,included,top_20
10,seattle_wa,"Seattle, Wa",Pacific,3001,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,18561533109.333332,0.9042807443489532,included,top_20
11,miami_fl,"Miami, Fl",Atlantic,5201,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,14783790592.333334,0.9231639265254954,included,top_20
12,philadelphia_pa,"Philadelphia, Pa",Atlantic,1101,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,9491363328.0,0.9352871463253835,included,top_20
13,port_everglades_fl,"Port Everglades, Fl",Atlantic,5203,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,9052004159.0,0.9468491772219694,included,top_20
14,jacksonville_fl,"Jacksonville, Fl",Atlantic,1803,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,6846076319.0,0.9555935993996773,included,top_20
15,new_orleans_la,"New Orleans, La",Gulf,2002,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,5191051044.333333,0.9622240749834365,included,top_20
16,mobile_al,"Mobile, Al",Gulf,1901,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,4771581855.333333,0.9683187669287667,included,top_20
17,boston_ma,"Boston, Ma",Atlantic,0401,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,4591238674.0,0.9741831084016558,included,top_20
18,chester_pa,"Chester, Pa",Atlantic,1102,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,4359672671.333333,0.979751673024424,included,top_20
19,wilmington_nc,"Wilmington, Nc",Atlantic,1501,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,3559590843.6666665,0.9842983014385037,included,top_20
20,san_francisco_ca,"San Francisco, Ca",Pacific,2809,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,1942091879.6666667,0.9867789152254947,included,top_20
21,gulfport_ms,"Gulfport, Ms",Gulf,1902,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,1495683886.3333333,0.9886893367190728,excluded_by_selection_rule,outside_selected_coverage
22,everett_wa,"Everett, Wa",Pacific,3006,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,1063862821.3333334,0.9900481976512958,excluded_by_selection_rule,outside_selected_coverage
23,tampa_fl,"Tampa, Fl",Gulf,1801,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,991380733.0,0.9913144779649022,excluded_by_selection_rule,outside_selected_coverage
24,wilmington_de,"Wilmington, De",Atlantic,1103,crosswalk-v1-2026-07-13,Census Port-HS 2017-2019; UN/LOCODE 2025-1; USACE Port/PSA metadata accessed 2026-07-13,883260790.3333334,0.9924426577986935,excluded_by_selection_rule,outside_selected_coverage
