mmsi,length_m,width_m,draft_m,vessel_type,imo,n_obs,first_year,last_year
123456789,60.0,12.0,2.0,70.0,,5985,2017,2017
200000001,,,,70.0,,3,2015,2015
205087000,199.0,32.0,7.5,70.0,,123,2023,2023
205097000,230.0,36.0,8.2,80.0,,777,2022,2025
205104000,230.0,36.0,8.5,89.0,,1142,2022,2025
205118000,210.0,30.0,9.8,73.0,,422,2022,2022
205125000,180.0,32.0,9.7,70.0,,1564,2021,2024
205283000,181.0,,,80.0,,360,2020,2023
205400000,289.0,45.0,18.1,70.0,,584,2016,2016
205460000,180.0,29.0,10.4,80.0,,571,2019,2020
205517000,274.0,48.0,17.0,80.0,,239,2018,2021
205543000,179.0,27.0,11.1,80.0,,939,2019,2019
205548000,275.0,48.0,17.0,80.0,,152,2017,2017
205553000,290.0,43.0,12.3,80.0,,66,2019,2019
205559000,274.0,48.0,17.0,80.0,,1026,2018,2022
205569000,291.0,45.0,18.2,70.0,,521,2019,2019
205609000,180.0,29.0,10.4,80.0,,844,2015,2022
205663000,333.0,60.0,22.4,80.0,,65,2023,2023
205670000,334.0,60.0,11.0,80.0,,750,2025,2025
205680000,180.0,30.0,9.8,70.0,,154,2020,2020
205681000,174.0,30.0,7.0,80.0,,359,2024,2025
205685000,180.0,30.0,7.4,89.0,,1174,2024,2025
205686000,333.0,60.0,12.1,80.0,,291,2023,2023
205691000,180.0,30.0,6.8,89.0,,323,2023,2023
205700000,199.0,,,70.0,,473,2020,2020
205713000,,,10.5,80.0,,346,2019,2025
205717000,199.0,,,70.0,,548,2022,2022
205728000,183.0,32.0,8.3,70.0,,916,2018,2022
205736000,180.0,30.0,7.9,89.0,,1268,2021,2025
205760000,274.0,48.0,11.8,89.0,,787,2019,2022
205783000,292.0,45.0,9.5,70.0,,484,2022,2022
205784000,262.0,32.0,11.4,74.0,,227,2020,2020
205789000,200.0,32.0,6.8,70.0,,70,2025,2025
205790000,198.0,32.0,11.4,70.0,,461,2021,2021
209008000,184.0,23.0,7.9,70.0,,413,2019,2024
209012000,225.0,32.0,8.2,70.0,,353,2023,2023
209016000,185.0,23.0,10.4,70.0,,155,2023,2023
209017000,183.0,29.0,10.8,70.0,,3485,2015,2024
209055000,250.0,44.0,14.9,80.0,,473,2016,2016
209064000,300.0,50.0,10.7,70.0,,129,2021,2021
209086000,180.0,30.0,9.8,70.0,,434,2018,2018
209087000,271.0,43.0,9.5,70.0,,384,2021,2021
209109000,171.0,28.0,10.6,70.0,,739,2018,2024
209112000,,,,70.0,,631,2019,2021
209116000,225.0,32.0,7.9,70.0,,397,2020,2020
209120000,224.0,32.0,14.1,70.0,,416,2018,2018
209136000,183.0,29.0,10.87,70.0,,1310,2015,2025
209156000,171.0,27.0,10.4,70.0,,885,2018,2021
209159000,224.0,32.0,14.0,70.0,,168,2021,2021
209162000,224.0,32.0,14.0,70.0,,469,2021,2021
209182000,185.0,23.0,10.4,70.0,,441,2020,2020
209184000,186.0,27.0,9.9,70.0,,426,2023,2023
209191000,229.0,32.0,14.5,70.0,,277,2018,2018
209207000,101.0,18.0,4.9,70.0,,1340,2025,2025
209218000,171.0,27.0,10.4,70.0,,1676,2016,2022
209228000,228.0,32.0,8.4,80.0,,4,2024,2024
209251000,337.0,46.0,14.1,70.0,,1420,2018,2025
209257000,169.0,27.0,9.8,70.0,,440,2017,2017
209270000,229.0,32.0,6.8,70.0,,110,2024,2024
209289000,171.0,27.0,10.4,70.0,,883,2023,2025
209294000,228.0,32.0,14.4,80.0,,1028,2017,2022
209316000,171.0,27.0,10.4,70.0,,1215,2017,2019
209317000,229.0,37.0,14.1,70.0,,220,2016,2016
209355000,199.0,27.0,11.0,70.0,,961,2021,2022
209393000,171.0,27.0,10.4,70.0,,1444,2018,2021
209394000,182.0,32.0,13.1,80.0,,512,2019,2019
209423000,299.0,40.0,12.5,70.0,,1086,2021,2023
209425000,180.0,25.0,6.6,71.0,,1533,2024,2025
209438000,229.0,36.0,7.4,70.0,,474,2025,2025
209443000,224.0,32.0,14.1,70.0,,939,2022,2024
209444000,148.0,24.0,7.6,70.0,,133,2023,2023
209446000,229.0,32.0,11.6,81.0,,450,2019,2019
209447000,224.0,32.0,14.0,70.0,,891,2021,2021
209463000,186.0,23.0,9.7,70.0,,19,2018,2018
209470000,300.0,40.0,11.6,79.0,,1251,2021,2024
209486000,199.0,26.0,9.8,79.0,,500,2015,2015
209495000,126.0,19.0,7.22,79.0,,788,2015,2015
209504000,161.0,25.0,8.0,72.0,,85,2021,2021
209513000,169.0,27.0,9.8,70.0,,47207,2019,2025
209532000,180.0,30.0,9.9,70.0,,393,2020,2020
209533000,180.0,30.0,9.9,70.0,,107,2018,2018
209534000,147.0,23.0,8.5,70.0,,282,2019,2019
209538000,229.0,32.0,7.4,70.0,,559,2025,2025
209542000,180.0,30.0,6.1,70.0,,359,2023,2023
209550000,334.0,43.0,14.5,70.0,,3684,2015,2025
209559000,300.0,40.0,11.7,70.0,,1713,2021,2025
209570000,147.0,23.0,8.5,70.0,,1433,2015,2023
209575000,148.0,24.0,7.2,79.0,,621,2019,2019
209590000,147.0,23.0,8.5,70.0,,238,2020,2020
209593000,147.0,22.0,7.9,70.0,,169,2021,2024
209596000,292.0,45.0,18.22,79.0,,430,2015,2015
209605000,190.0,32.0,12.0,70.0,,146,2016,2016
209613000,134.0,23.0,8.3,79.0,,348,2022,2022
209615000,300.0,40.0,9.7,71.0,,1384,2022,2025
209623000,229.0,32.0,13.7,70.0,,115,2021,2021
209631000,176.0,32.0,8.7,70.0,,562,2021,2023
209632000,182.0,32.0,12.0,80.0,,403,2018,2018
209641000,89.0,12.0,4.8,70.0,,3536,2015,2024
209652000,229.0,32.0,6.8,70.0,,952,2024,2024
209677000,225.0,32.0,13.2,70.0,,578,2021,2021
209682000,229.0,32.0,13.6,70.0,,120,2022,2022
209690000,229.0,32.0,8.0,70.0,,433,2024,2024
209694000,229.0,32.0,13.4,70.0,,123,2021,2021
209697000,148.0,25.0,8.2,74.0,,936,2023,2024
209716000,300.0,40.0,10.8,70.0,,279,2023,2023
209723000,229.0,36.0,14.2,70.0,,372,2018,2018
209729000,99.0,16.0,5.9,70.0,,1424,2016,2025
209736000,200.0,32.0,7.8,70.0,,152,2024,2024
209745000,186.0,27.0,10.9,70.0,,10,2018,2018
209747000,108.0,18.0,3.9,70.0,,415,2015,2015
209760000,229.0,42.0,14.8,89.0,,59,2017,2017
209766000,197.0,33.0,6.3,70.0,,24,2025,2025
209795000,260.0,32.0,9.6,74.0,,485,2022,2025
209830000,175.0,27.0,8.0,79.0,,1895,2019,2021
209848000,148.0,22.0,6.2,80.0,,281,2025,2025
209850000,139.0,22.0,6.1,79.0,,1309,2021,2024
209854000,229.0,32.0,14.6,70.0,,311,2023,2024
209859000,118.0,20.0,6.4,80.0,,1552,2015,2021
209862000,166.0,25.0,9.5,70.0,,6548,2018,2024
209870000,225.0,32.0,10.6,70.0,,38,2024,2024
209877000,228.0,35.0,8.0,70.0,,479,2023,2023
209888000,186.0,35.0,9.8,70.0,,1058,2022,2025
209890000,229.0,32.0,13.2,89.0,,1932,2015,2020
209920000,334.0,42.0,11.1,71.0,,2283,2020,2024
209933000,172.0,28.0,10.62,70.0,,462,2015,2015
209946000,182.0,32.0,12.0,80.0,,143,2018,2018
209961000,229.0,32.0,13.7,70.0,,128,2023,2023
209964000,229.0,32.0,13.8,70.0,,57,2023,2023
209997000,298.0,48.0,9.8,86.0,,63,2025,2025
210007000,189.0,32.0,12.7,70.0,,313,2019,2019
210014000,224.0,32.0,14.0,70.0,,473,2023,2023
210054000,189.0,32.0,12.9,70.0,,1107,2022,2022
210057000,134.0,22.0,8.7,70.0,,2020,2018,2020
210059000,171.0,27.0,10.4,70.0,,865,2019,2023
210063000,228.0,32.0,14.5,80.0,,531,2016,2025
210070000,186.0,35.0,9.2,70.0,,869,2022,2025
210077000,225.0,42.0,14.8,84.0,,541,2017,2017
210079000,225.0,32.0,12.0,70.0,,454,2021,2021
210080000,183.0,32.0,8.3,89.0,,423,2023,2023
210085000,229.0,32.0,7.0,70.0,,447,2024,2024
210104000,228.0,32.0,14.5,70.0,,45,2020,2020
210106000,183.0,32.0,8.0,80.0,,1734,2021,2025
210107000,180.0,32.0,8.3,89.0,,547,2023,2024
210109000,185.0,32.0,7.0,80.0,,619,2024,2025
210115000,178.0,28.0,10.58,79.0,,476,2015,2015
210132000,227.0,32.0,11.6,80.0,,335,2022,2022
210134000,228.0,32.0,9.2,80.0,,983,2021,2022
210144000,186.0,32.0,9.7,80.0,,692,2025,2025
210145000,186.0,32.0,9.7,82.0,,787,2024,2025
210146000,288.0,45.0,17.8,70.0,,370,2022,2025
210159000,166.0,25.0,9.5,70.0,,5972,2018,2025
210185000,189.0,28.0,10.5,70.0,,102,2022,2022
210190000,225.0,32.0,9.0,70.0,,23,2015,2015
210195000,170.0,27.0,8.7,71.0,,493,2022,2022
210200000,189.0,,,70.0,,476,2019,2019
210208000,138.0,21.0,8.0,70.0,,1392,2016,2021
210210000,186.0,35.0,8.3,70.0,,1012,2023,2025
210214000,229.0,32.0,14.5,70.0,,194,2021,2021
210224000,229.0,42.0,14.8,89.0,,326,2016,2016
210232000,180.0,30.0,7.5,70.0,,448,2025,2025
210234000,171.0,27.0,10.4,70.0,,2270,2019,2025
210239000,188.0,28.0,10.9,70.0,,33,2015,2015
210247000,139.0,22.0,8.1,79.0,,94,2025,2025
210261000,186.0,28.0,6.5,70.0,,2074,2018,2025
210279000,186.0,28.0,10.4,70.0,,902,2019,2019
210284000,194.0,,,70.0,,405,2019,2019
210285000,186.0,32.0,7.1,89.0,,209,2022,2022
210292000,187.0,29.0,10.4,79.0,,848,2016,2019
210302000,225.0,32.0,14.0,74.0,,168,2016,2016
210308000,193.0,26.0,11.8,70.0,,526,2023,2023
210325000,186.0,32.0,12.2,82.0,,470,2024,2024
210347000,182.0,28.0,10.8,70.0,,3639,2018,2023
210349000,229.0,32.0,13.7,70.0,,385,2018,2025
210355000,186.0,27.0,6.2,70.0,,340,2025,2025
210364000,235.0,32.0,14.6,70.0,,475,2021,2021
210430000,229.0,32.0,7.5,70.0,,919,2023,2025
210449000,182.0,32.0,12.0,80.0,,59,2019,2019
210464000,186.0,23.0,9.7,70.0,,917,2017,2025
210470000,229.0,37.0,7.6,70.0,,467,2023,2023
210481000,268.0,32.0,12.5,71.0,,456,2016,2016
210503000,140.0,21.0,7.2,70.0,,466,2024,2024
210509000,187.0,29.0,10.4,70.0,,1247,2017,2017
210516000,222.0,30.0,11.4,70.0,,2305,2015,2018
210558000,190.0,32.0,13.0,70.0,,523,2022,2022
210562000,271.0,43.0,10.7,70.0,,531,2021,2021
210565000,147.0,23.0,8.5,70.0,,657,2018,2019
210575000,294.0,32.0,13.5,71.0,,388,2015,2015
210581000,229.0,32.0,14.6,70.0,,595,2016,2020
210589000,229.0,32.0,7.4,70.0,,462,2023,2023
210603000,140.0,22.0,6.0,89.0,,991,2024,2025
210604000,294.0,32.0,12.7,74.0,,769,2025,2025
210610000,335.0,43.0,11.9,70.0,,913,2025,2025
210623000,184.0,25.0,7.5,70.0,,2539,2015,2017
210638000,189.0,,,70.0,,2885,2018,2022
210655000,198.0,32.0,12.7,70.0,,51,2022,2022
210725000,229.0,38.0,14.9,70.0,,362,2016,2016
210728000,294.0,32.0,13.5,70.0,,3272,2016,2020
210739000,249.0,44.0,14.7,81.0,,735,2016,2016
210740000,139.0,22.0,8.8,70.0,,3380,2018,2025
210749000,147.0,23.0,8.5,70.0,,385,2020,2023
210763000,179.0,30.0,10.0,70.0,,951,2020,2022
210777000,171.0,27.0,10.4,70.0,,2025,2015,2021
210786000,183.0,29.0,10.8,70.0,,1881,2015,2019
210798000,108.0,18.0,7.01,70.0,,306,2015,2015
210815000,160.0,27.0,9.8,70.0,,1906,2015,2018
210819000,268.0,32.0,12.5,71.0,,218,2016,2017
210843000,160.0,27.0,9.8,71.0,,899,2016,2017
210872000,225.0,32.0,14.0,70.0,,171,2022,2022
210875000,229.0,37.0,14.7,70.0,,602,2018,2025
210881000,108.0,18.0,7.3,70.0,,204,2015,2015
210905000,166.0,25.0,9.5,70.0,,2150,2021,2024
210911000,228.0,32.0,14.6,70.0,,453,2020,2020
210925000,169.0,27.0,7.8,70.0,,237,2022,2022
210945000,333.0,60.0,15.8,89.0,,472,2025,2025
210950000,166.0,25.0,9.5,70.0,,4244,2016,2021
210959000,100.0,17.0,4.8,70.0,,3712,2018,2025
210963000,229.0,32.0,14.5,70.0,,477,2021,2021
210969000,180.0,30.0,8.1,70.0,,467,2025,2025
210971000,134.0,20.0,5.8,80.0,,1158,2025,2025
210989000,186.0,30.0,11.5,70.0,,1263,2016,2016
210998000,160.0,27.0,9.8,71.0,,2595,2015,2022
211140000,272.0,40.0,13.2,70.0,,996,2017,2018
211208940,294.0,32.0,11.1,79.0,,252,2015,2015
211256150,208.0,30.0,8.5,71.0,,678,2021,2022
211262460,294.0,32.0,11.3,79.0,,1461,2015,2016
211262630,295.0,32.0,,79.0,,72,2016,2016
211311970,293.0,32.0,13.6,70.0,,1525,2015,2022
211327410,294.0,32.0,13.57,79.0,,1325,2015,2018
211331640,294.0,32.0,13.6,79.0,,2083,2016,2022
211335760,293.0,32.0,13.6,70.0,,1146,2019,2022
211349370,208.0,31.0,8.2,71.0,,82,2015,2015
211362460,320.0,42.0,14.5,70.0,,1854,2015,2021
211367460,320.0,43.0,14.5,70.0,,1999,2015,2020
211378800,300.0,40.0,11.3,79.0,,1485,2015,2015
211382280,320.0,43.0,14.52,79.0,,692,2015,2015
211387390,320.0,43.0,14.5,79.0,,451,2015,2015
211433000,335.0,42.0,14.6,70.0,,1929,2018,2021
211549000,366.0,48.0,12.4,71.0,,2290,2021,2025
211577000,160.0,28.0,8.8,79.0,,821,2025,2025
211578000,366.0,48.0,15.5,70.0,,1437,2021,2023
211611000,272.0,40.0,13.2,70.0,,1196,2015,2017
211691000,272.0,40.0,13.2,70.0,,1622,2015,2018
211693000,332.0,43.0,14.5,74.0,,811,2016,2019
211738000,272.0,40.0,13.2,70.0,,659,2016,2016
211744000,332.0,43.0,14.5,70.0,,824,2020,2021
211771000,272.0,40.0,13.2,70.0,,619,2017,2017
211776000,335.0,43.0,14.6,79.0,,1365,2016,2020
211779000,300.0,40.0,14.5,70.0,,2992,2017,2023
211781000,300.0,40.0,14.5,79.0,,1867,2016,2017
211782000,300.0,40.0,14.5,79.0,,587,2016,2016
211801000,300.0,40.0,14.5,79.0,,2285,2016,2018
211829000,334.0,42.0,,71.0,,468,2015,2015
211839000,336.0,42.0,14.6,70.0,,7034,2015,2024
212040000,182.0,28.0,10.8,70.0,,2669,2019,2025
212049000,185.0,23.0,10.4,70.0,,511,2019,2023
212054000,288.0,45.0,17.7,70.0,,470,2022,2022
212060000,255.0,43.0,14.5,70.0,,432,2020,2020
212072000,132.0,19.0,7.7,70.0,,1381,2018,2021
212084000,228.0,32.0,14.4,80.0,,465,2017,2017
212085000,182.0,32.0,8.4,80.0,,207,2015,2015
212093000,185.0,23.0,7.9,70.0,,129,2025,2025
212122000,199.0,32.0,6.7,70.0,,909,2019,2025
212125000,171.0,27.0,10.4,70.0,,1638,2015,2025
212131000,228.0,36.0,14.1,70.0,,95,2018,2018
212139000,235.0,38.0,14.4,79.0,,158,2016,2016
212150000,260.0,32.0,12.6,74.0,,1184,2016,2016
212151000,347.0,45.0,15.5,70.0,,2827,2016,2019
