date,cpi_services
2000-01-01,192.0
2000-02-01,192.5
2000-03-01,193.1
2000-04-01,193.5
2000-05-01,194.0
2000-06-01,194.9
2000-07-01,195.7
2000-08-01,196.3
2000-09-01,196.9
2000-10-01,197.7
2000-11-01,198.1
2000-12-01,198.8
2001-01-01,200.6
2001-02-01,201.2
2001-03-01,201.6
2001-04-01,202.0
2001-05-01,202.7
2001-06-01,203.5
2001-07-01,203.8
2001-08-01,204.4
2001-09-01,204.5
2001-10-01,204.8
2001-11-01,205.6
2001-12-01,206.1
2002-01-01,206.8
2002-02-01,207.5
2002-03-01,207.9
2002-04-01,208.5
2002-05-01,209.0
2002-06-01,209.3
2002-07-01,209.9
2002-08-01,210.6
2002-09-01,211.1
2002-10-01,211.7
2002-11-01,212.4
2002-12-01,213.0
2003-01-01,213.7
2003-02-01,214.2
2003-03-01,215.0
2003-04-01,215.1
2003-05-01,216.0
2003-06-01,216.2
2003-07-01,216.8
2003-08-01,217.2
2003-09-01,217.8
2003-10-01,218.4
2003-11-01,218.6
2003-12-01,219.0
2004-01-01,219.7
2004-02-01,220.1
2004-03-01,220.8
2004-04-01,221.4
2004-05-01,221.9
2004-06-01,222.7
2004-07-01,223.2
2004-08-01,223.7
2004-09-01,224.2
2004-10-01,224.6
2004-11-01,225.4
2004-12-01,225.8
2005-01-01,226.2
2005-02-01,226.9
2005-03-01,228.0
2005-04-01,228.5
2005-05-01,228.9
2005-06-01,229.1
2005-07-01,229.9
2005-08-01,230.4
2005-09-01,231.4
2005-10-01,233.1
2005-11-01,234.2
2005-12-01,234.4
2006-01-01,235.5
2006-02-01,235.9
2006-03-01,236.5
2006-04-01,237.1
2006-05-01,237.8
2006-06-01,238.5
2006-07-01,239.2
2006-08-01,239.9
2006-09-01,240.7
2006-10-01,241.0
2006-11-01,241.7
2006-12-01,242.4
2007-01-01,243.214
2007-02-01,244.091
2007-03-01,244.743
2007-04-01,245.315
2007-05-01,245.896
2007-06-01,246.645
2007-07-01,247.065
2007-08-01,247.505
2007-09-01,248.248
2007-10-01,249.054
2007-11-01,249.818
2007-12-01,250.546
2008-01-01,251.254
2008-02-01,251.827
2008-03-01,252.919
2008-04-01,253.59
2008-05-01,254.677
2008-06-01,255.839
2008-07-01,257.074
2008-08-01,257.56
2008-09-01,257.582
2008-10-01,257.712
2008-11-01,257.821
2008-12-01,257.988
2009-01-01,258.453
2009-02-01,258.656
2009-03-01,258.744
2009-04-01,258.698
2009-05-01,258.584
2009-06-01,258.686
2009-07-01,258.747
2009-08-01,259.285
2009-09-01,259.523
2009-10-01,260.011
2009-11-01,260.213
