h,irf,lower,upper,n
0,-0.001405896860114306,-0.0027615532972818926,-5.024042294671932e-05,196
1,-0.001365167646267137,-0.0029948634904949497,0.00026452819796067583,196
2,-0.00023959478179581167,-0.002306063183160438,0.0018268736195688143,196
3,0.0006847570775055499,-0.0021513343300369366,0.0035208484850480365,195
4,0.0015026910954365306,-0.0020232012684810916,0.005028583459354153,194
5,0.0025412347990823635,-0.001840065352045294,0.006922534950210021,193
6,0.003976976388050769,-0.0012738966825937134,0.009227849458695252,192
7,0.0041297474900037195,-0.002408626425330562,0.010668121405338002,191
8,0.0043819682981679625,-0.00321079284457925,0.011974729440915176,190
9,0.004893678198981632,-0.0034065663843954024,0.013193922782358666,189
10,0.005825740336991691,-0.004015251062037949,0.01566673173602133,188
11,0.0061957603947250224,-0.005004261905044843,0.017395782694494887,187
12,0.006784643066570592,-0.005410794018436012,0.018980080151577195,186
13,0.007703392497465301,-0.006019269069343874,0.021426054064274475,185
14,0.007946774549121289,-0.006038482175363902,0.02193203127360648,184
15,0.008860472126263307,-0.005349027008910046,0.02306997126143666,183
16,0.009159406574389885,-0.005224675659176375,0.023543488807956144,182
17,0.009712967493687255,-0.005011593601622609,0.024437528588997122,181
18,0.01021407705069248,-0.0058266399948561295,0.02625479409624109,180
19,0.009262503856918788,-0.006458410285779363,0.02498341799961694,179
20,0.009346072759164537,-0.005900651107718986,0.02459279662604806,178
21,0.010300106465618637,-0.00528807442835522,0.025888287359592494,177
22,0.010753577536478126,-0.004784803200952479,0.026291958273908733,176
23,0.01077878825317742,-0.004739657191533013,0.02629723369788785,175
24,0.011039172007977164,-0.0044090656003020565,0.026487409616256383,174
