h,irf,lower,upper,n
0,-0.0005697538106672238,-0.0011011221462533605,-3.838547508108704e-05,196
1,-0.0005472666172358919,-0.0012006273644989606,0.00010609413002717679,196
2,-4.072136502351312e-05,-0.0008905255713678122,0.000809082841320786,196
3,0.00033729232893966527,-0.0008078965616029516,0.0014824812194822823,195
4,0.0006048857630950679,-0.0008375337444922444,0.0020473052706823803,194
5,0.0010793914549526381,-0.0007085561435099582,0.0028673390534152345,193
6,0.001780291346589219,-0.00038574991533882547,0.003946332608517263,192
7,0.002007373659428377,-0.0006425846978639865,0.004657332016720741,191
8,0.002362699264857697,-0.0007665110390702016,0.005491909568785596,190
9,0.0027378597819663927,-0.0007073127506117727,0.006183032314544559,189
10,0.0032989662370344333,-0.0008494018297601786,0.007447334303829045,188
11,0.003567009031607524,-0.0012426401098487331,0.00837665817306378,187
12,0.0038616492334278218,-0.001389358353064162,0.009112656819919806,186
13,0.004530728466095659,-0.0015371796684079137,0.010598636600599232,185
14,0.0049486017063920034,-0.0014785810919347876,0.011375784504718794,184
15,0.0054734452690812,-0.00119347096648753,0.012140361504649932,183
16,0.005844576092129073,-0.0011497946879298563,0.012838946872188003,182
17,0.00628036848894051,-0.0010126384540057268,0.013573375431886747,181
18,0.006643188221986697,-0.0013695041707679446,0.014655880614741337,180
19,0.006608974881167539,-0.001558429943902268,0.014776379706237346,179
20,0.006800109081875152,-0.0013834300796732408,0.014983648243423544,178
21,0.007192836333954907,-0.001244001588668651,0.015629674256578466,177
22,0.007386416672152046,-0.00100597871406574,0.015778812058369833,176
23,0.007686850767725199,-0.0008801125555701903,0.01625381409102059,175
24,0.007831276516958615,-0.0007387400260918837,0.016401293060009113,174
