h,irf,lower,upper,n
0,1.3174132789483558e-05,-0.00017455786532959063,0.00020090613090855775,196
1,-3.4949016454836348e-06,-0.0003476435879094661,0.0003406537846184988,196
2,5.346225235698958e-05,-0.0003686256908561156,0.00047555019557009477,196
3,4.603847355179429e-05,-0.0004429193341129526,0.0005349962812165412,195
4,-2.610991313065723e-06,-0.0005723939053784273,0.0005671719227522959,194
5,0.00012336708409151529,-0.0004967587573378845,0.0007434929255209151,193
6,0.0003480860379571392,-0.00034215738618526036,0.001038329462099539,192
7,0.0005536611582328639,-0.00014546458853070322,0.001252786904996431,191
8,0.0008789607249910492,4.9927095961126806e-05,0.0017079943540209716,190
9,0.0011431406100813452,0.00016801294656737043,0.00211826827359532,189
10,0.001450376533954371,0.0002971720953120051,0.002603580972596737,188
11,0.0016116340667178548,0.00023483904241223055,0.002988429091023479,187
12,0.0016365723619749387,0.00015093879349773105,0.003122205930452146,186
13,0.002069402321228117,0.00028136081757785267,0.0038574438248783816,185
14,0.0024180850609873982,0.00040738544410327945,0.0044287846778715174,184
15,0.0026948134367359333,0.0005330654873816711,0.004856561386090195,183
16,0.0030646176582909117,0.0005937866269064905,0.005535448689675333,182
17,0.003336899249517729,0.0006554071489506003,0.0060183913500848575,181
18,0.0035231861362222346,0.0006075127214609181,0.006438859550983551,180
19,0.0038152090013587187,0.0007231228983791017,0.006907295104338336,179
20,0.0039049693774267703,0.000663677609149085,0.0071462611457044556,178
21,0.004070788644801718,0.0005505013282550812,0.007591075961348354,177
22,0.004124009169624842,0.0005770978704042447,0.0076709204688454385,176
23,0.004272790936453357,0.0006998171082943606,0.007845764764612354,175
24,0.0042387239404472095,0.0006382222633664943,0.007839225617527925,174
