Port,YearMonth,gap_threshold_h,MeanDwellDays_segmented,MedianDwellDays_segmented,UniqueCalls,UniqueVessels,correlation_with_primary_series
Houston,2009-01,12,0.16429238285246572,0.03263888888888889,1086,512,-0.3903235628342513
Houston,2009-02,12,0.17349868453255018,0.03194444444444444,908,417,-0.3903235628342513
Houston,2009-03,12,0.17053790266106442,0.03194444444444444,952,444,-0.3903235628342513
Houston,2009-04,12,0.18430294867338662,0.03263888888888889,959,440,-0.3903235628342513
Houston,2009-05,12,0.16351773226773228,0.03194444444444444,1001,459,-0.3903235628342513
Houston,2009-06,12,0.2029216716716717,0.03263888888888889,111,92,-0.3903235628342513
Houston,2009-07,12,0.19819327975774517,0.03263888888888889,954,422,-0.3903235628342513
Houston,2009-08,12,0.15918447293447294,0.03194444444444444,975,435,-0.3903235628342513
Houston,2009-09,12,0.1889542304886944,0.03194444444444444,914,416,-0.3903235628342513
Houston,2009-10,12,0.1828952558034708,0.03194444444444444,986,430,-0.3903235628342513
Houston,2009-11,12,0.1622812397775597,0.03194444444444444,1019,448,-0.3903235628342513
Houston,2009-12,12,0.15801226173872618,0.03194444444444444,956,426,-0.3903235628342513
Houston,2010-01,12,0.18017629211132036,0.03194444444444444,1062,436,-0.3903235628342513
Houston,2010-02,12,0.18576471364476116,0.03229166666666666,842,381,-0.3903235628342513
Houston,2010-03,12,0.1764091154261057,0.03263888888888889,1030,451,-0.3903235628342513
Houston,2010-04,12,0.1721664786159467,0.03194444444444444,1034,452,-0.3903235628342513
Houston,2010-05,12,0.2660720855671187,0.03194444444444444,1057,457,-0.3903235628342513
Houston,2010-06,12,0.17178358982754857,0.03194444444444444,1018,450,-0.3903235628342513
Houston,2010-07,12,0.15060622101230087,0.03263888888888889,1102,467,-0.3903235628342513
Houston,2010-08,12,0.17160730912476724,0.03333333333333333,1074,477,-0.3903235628342513
Houston,2010-09,12,0.17423870716510903,0.03263888888888889,1070,475,-0.3903235628342513
Houston,2010-10,12,0.17103047415547415,0.03333333333333333,1092,479,-0.3903235628342513
Houston,2010-11,12,0.18671917510066385,0.03333333333333333,1021,454,-0.3903235628342513
Houston,2010-12,12,0.17621923848753696,0.03263888888888889,1052,473,-0.3903235628342513
Houston,2011-01,12,0.19082065217391303,0.03263888888888889,1150,488,-0.3903235628342513
Houston,2011-02,12,0.223354125083167,0.03263888888888889,835,402,-0.3903235628342513
