year,phase,expected_days,available_days,coverage
2019,pre,90,90,1.0
2019,full_obstruction_1,30,30,1.0
2019,limited_access_1,4,4,1.0
2019,full_obstruction_2,15,15,1.0
2019,night_access,6,6,1.0
2019,deep_draft_reopened,21,21,1.0
2019,full_channel_restored,30,30,1.0
2022,pre,90,90,1.0
2022,full_obstruction_1,30,30,1.0
2022,limited_access_1,4,4,1.0
2022,full_obstruction_2,15,15,1.0
2022,night_access,6,6,1.0
2022,deep_draft_reopened,21,21,1.0
2022,full_channel_restored,30,30,1.0
2023,pre,90,90,1.0
2023,full_obstruction_1,30,30,1.0
2023,limited_access_1,4,4,1.0
2023,full_obstruction_2,15,15,1.0
2023,night_access,6,6,1.0
2023,deep_draft_reopened,21,21,1.0
2023,full_channel_restored,30,30,1.0
2024,pre,91,91,1.0
2024,full_obstruction_1,30,30,1.0
2024,limited_access_1,4,4,1.0
2024,full_obstruction_2,15,15,1.0
2024,night_access,6,6,1.0
2024,deep_draft_reopened,21,21,1.0
2024,full_channel_restored,30,30,1.0
