year,week,crossings,contacts
2019,2018-12-25,66,33
2019,2019-01-01,45,26
2019,2019-01-08,66,28
2019,2019-01-15,80,39
2019,2019-01-22,70,35
2019,2019-01-29,71,33
2019,2019-02-05,69,34
2019,2019-02-12,68,31
2019,2019-02-19,64,30
2019,2019-02-26,59,30
2019,2019-03-05,77,38
2019,2019-03-12,71,38
2019,2019-03-19,56,29
2019,2019-03-26,67,35
2019,2019-04-02,72,38
2019,2019-04-09,54,25
2019,2019-04-16,66,39
2019,2019-04-23,69,32
2019,2019-04-30,55,28
2019,2019-05-07,70,36
2019,2019-05-14,65,33
2019,2019-05-21,66,37
2019,2019-05-28,66,33
2019,2019-06-04,66,34
2019,2019-06-11,57,31
2019,2019-06-18,66,34
2019,2019-06-25,59,31
2019,2019-07-02,53,27
2019,2019-07-09,5,4
2022,2021-12-21,18,11
2022,2021-12-28,56,30
2022,2022-01-04,62,34
2022,2022-01-11,46,21
2022,2022-01-18,71,43
2022,2022-01-25,67,33
2022,2022-02-01,55,35
2022,2022-02-08,66,36
2022,2022-02-15,64,37
2022,2022-02-22,72,41
2022,2022-03-01,61,28
2022,2022-03-08,72,39
2022,2022-03-15,52,49
2022,2022-03-22,72,38
2022,2022-03-29,77,40
2022,2022-04-05,71,38
2022,2022-04-12,58,35
2022,2022-04-19,64,41
2022,2022-04-26,69,37
2022,2022-05-03,60,37
2022,2022-05-10,84,41
2022,2022-05-17,56,30
2022,2022-05-24,41,30
2022,2022-05-31,75,43
2022,2022-06-07,60,60
2022,2022-06-14,76,41
2022,2022-06-21,56,40
2022,2022-06-28,50,29
2022,2022-07-05,46,29
2023,2022-12-20,10,10
2023,2022-12-27,55,30
2023,2023-01-03,58,38
2023,2023-01-10,73,39
2023,2023-01-17,72,40
2023,2023-01-24,86,43
2023,2023-01-31,70,36
2023,2023-02-07,69,45
2023,2023-02-14,70,34
2023,2023-02-21,79,47
2023,2023-02-28,51,26
2023,2023-03-07,74,47
2023,2023-03-14,65,33
2023,2023-03-21,65,41
2023,2023-03-28,77,44
2023,2023-04-04,58,32
2023,2023-04-11,79,43
2023,2023-04-18,76,40
2023,2023-04-25,75,45
2023,2023-05-02,66,33
2023,2023-05-09,75,47
2023,2023-05-16,83,43
2023,2023-05-23,61,31
2023,2023-05-30,75,47
2023,2023-06-06,98,49
2023,2023-06-13,66,33
2023,2023-06-20,70,39
2023,2023-06-27,61,34
2023,2023-07-04,48,30
2024,2023-12-26,79,45
2024,2024-01-02,58,32
2024,2024-01-09,63,33
2024,2024-01-16,64,39
2024,2024-01-23,86,47
2024,2024-01-30,72,40
2024,2024-02-06,68,35
2024,2024-02-13,71,36
2024,2024-02-20,69,38
2024,2024-02-27,59,30
2024,2024-03-05,71,41
2024,2024-03-12,82,45
2024,2024-03-19,82,45
2024,2024-03-26,1,6
2024,2024-04-02,0,8
2024,2024-04-09,0,11
2024,2024-04-16,1,8
2024,2024-04-23,18,13
2024,2024-04-30,0,7
2024,2024-05-07,13,15
2024,2024-05-14,36,20
2024,2024-05-21,61,34
2024,2024-05-28,56,27
2024,2024-06-04,47,26
2024,2024-06-11,56,33
2024,2024-06-18,65,31
2024,2024-06-25,65,39
2024,2024-07-02,57,33
2024,2024-07-09,8,3
