port_complex_id,year,group,pre_episodes,post_episodes,fleet_size,change_per_100
new_york_new_jersey,2024,linked,132,141,1270,0.7086614173228346
new_york_new_jersey,2024,comparison,427,321,1519,-6.978275181040158
new_york_new_jersey,2019,linked,62,66,1270,0.31496062992125984
new_york_new_jersey,2019,comparison,125,135,1519,0.6583278472679395
new_york_new_jersey,2022,linked,112,107,1270,-0.3937007874015748
new_york_new_jersey,2022,comparison,226,227,1519,0.06583278472679395
new_york_new_jersey,2023,linked,136,144,1270,0.6299212598425197
new_york_new_jersey,2023,comparison,432,449,1519,1.119157340355497
savannah_ga,2024,linked,69,59,1270,-0.7874015748031497
savannah_ga,2024,comparison,227,182,877,-5.131128848346636
savannah_ga,2019,linked,35,45,1270,0.7874015748031497
savannah_ga,2019,comparison,57,57,877,0.0
savannah_ga,2022,linked,43,45,1270,0.15748031496062992
savannah_ga,2022,comparison,99,113,877,1.596351197263398
savannah_ga,2023,linked,73,71,1270,-0.15748031496062992
savannah_ga,2023,comparison,190,225,877,3.990877993158495
norfolk_newport_news_va,2024,linked,88,102,1270,1.1023622047244095
norfolk_newport_news_va,2024,comparison,283,181,1071,-9.523809523809524
norfolk_newport_news_va,2019,linked,40,28,1270,-0.9448818897637795
norfolk_newport_news_va,2019,comparison,63,65,1071,0.18674136321195145
norfolk_newport_news_va,2022,linked,64,73,1270,0.7086614173228346
norfolk_newport_news_va,2022,comparison,117,114,1071,-0.2801120448179272
norfolk_newport_news_va,2023,linked,83,100,1270,1.3385826771653544
norfolk_newport_news_va,2023,comparison,236,260,1071,2.2408963585434174
charleston_sc,2024,linked,53,53,1270,0.0
charleston_sc,2024,comparison,175,115,654,-9.174311926605505
charleston_sc,2019,linked,22,29,1270,0.5511811023622047
charleston_sc,2019,comparison,39,51,654,1.834862385321101
charleston_sc,2022,linked,39,41,1270,0.15748031496062992
charleston_sc,2022,comparison,87,87,654,0.0
charleston_sc,2023,linked,67,75,1270,0.6299212598425197
charleston_sc,2023,comparison,150,158,654,1.2232415902140672
miami_fl,2024,linked,4,3,1270,-0.07874015748031496
miami_fl,2024,comparison,226,209,247,-6.882591093117409
miami_fl,2019,linked,5,8,1270,0.23622047244094488
miami_fl,2019,comparison,77,86,247,3.6437246963562755
miami_fl,2022,linked,1,1,1270,0.0
miami_fl,2022,comparison,170,169,247,-0.4048582995951417
miami_fl,2023,linked,3,4,1270,0.07874015748031496
miami_fl,2023,comparison,233,230,247,-1.214574898785425
philadelphia_pa,2024,linked,49,53,1270,0.31496062992125984
philadelphia_pa,2024,comparison,305,215,902,-9.977827050997783
philadelphia_pa,2019,linked,15,16,1270,0.07874015748031496
philadelphia_pa,2019,comparison,39,42,902,0.3325942350332594
philadelphia_pa,2022,linked,19,35,1270,1.2598425196850394
philadelphia_pa,2022,comparison,134,131,902,-0.3325942350332594
philadelphia_pa,2023,linked,43,51,1270,0.6299212598425197
philadelphia_pa,2023,comparison,283,270,902,-1.441241685144124
port_everglades_fl,2024,linked,31,28,1270,-0.23622047244094488
port_everglades_fl,2024,comparison,407,379,481,-5.8212058212058215
port_everglades_fl,2019,linked,3,11,1270,0.6299212598425197
port_everglades_fl,2019,comparison,181,177,481,-0.8316008316008316
port_everglades_fl,2022,linked,15,13,1270,-0.15748031496062992
port_everglades_fl,2022,comparison,259,280,481,4.365904365904366
port_everglades_fl,2023,linked,25,27,1270,0.15748031496062992
port_everglades_fl,2023,comparison,388,402,481,2.9106029106029108
jacksonville_fl,2024,linked,50,51,1270,0.07874015748031496
jacksonville_fl,2024,comparison,115,93,331,-6.646525679758308
jacksonville_fl,2019,linked,40,34,1270,-0.47244094488188976
jacksonville_fl,2019,comparison,41,51,331,3.0211480362537766
jacksonville_fl,2022,linked,38,38,1270,0.0
jacksonville_fl,2022,comparison,82,78,331,-1.2084592145015105
jacksonville_fl,2023,linked,51,50,1270,-0.07874015748031496
jacksonville_fl,2023,comparison,124,122,331,-0.6042296072507553
san_pedro_bay,2024,linked,28,32,1270,0.31496062992125984
san_pedro_bay,2024,comparison,506,338,1707,-9.84182776801406
san_pedro_bay,2019,linked,26,21,1270,-0.3937007874015748
san_pedro_bay,2019,comparison,170,187,1707,0.9958992384299942
san_pedro_bay,2022,linked,35,30,1270,-0.3937007874015748
san_pedro_bay,2022,comparison,262,276,1707,0.8201523140011716
san_pedro_bay,2023,linked,21,18,1270,-0.23622047244094488
san_pedro_bay,2023,comparison,493,474,1707,-1.1130638547158758
houston_tx,2024,linked,72,57,1270,-1.1811023622047243
houston_tx,2024,comparison,918,703,2989,-7.193041150886584
houston_tx,2019,linked,28,45,1270,1.3385826771653544
houston_tx,2019,comparison,301,309,2989,0.26764804282368687
houston_tx,2022,linked,48,66,1270,1.4173228346456692
houston_tx,2022,comparison,564,602,2989,1.2713282034125126
houston_tx,2023,linked,67,65,1270,-0.15748031496062992
houston_tx,2023,comparison,883,873,2989,-0.33456005352960855
new_orleans_la,2024,linked,96,88,1270,-0.6299212598425197
new_orleans_la,2024,comparison,1027,594,3078,-14.067576348278102
new_orleans_la,2019,linked,54,54,1270,0.0
new_orleans_la,2019,comparison,245,214,3078,-1.0071474983755686
new_orleans_la,2022,linked,74,84,1270,0.7874015748031497
new_orleans_la,2022,comparison,418,517,3078,3.216374269005848
new_orleans_la,2023,linked,96,72,1270,-1.889763779527559
new_orleans_la,2023,comparison,952,976,3078,0.7797270955165692
boston_ma,2024,linked,18,14,1270,-0.31496062992125984
boston_ma,2024,comparison,81,40,230,-17.82608695652174
boston_ma,2019,linked,5,7,1270,0.15748031496062992
boston_ma,2019,comparison,25,32,230,3.0434782608695654
boston_ma,2022,linked,13,9,1270,-0.31496062992125984
boston_ma,2022,comparison,32,26,230,-2.608695652173913
boston_ma,2023,linked,24,21,1270,-0.23622047244094488
boston_ma,2023,comparison,68,70,230,0.8695652173913043
mobile_al,2024,linked,12,11,1270,-0.07874015748031496
mobile_al,2024,comparison,129,81,675,-7.111111111111111
mobile_al,2019,linked,11,15,1270,0.31496062992125984
mobile_al,2019,comparison,15,15,675,0.0
mobile_al,2022,linked,14,17,1270,0.23622047244094488
mobile_al,2022,comparison,50,52,675,0.2962962962962963
mobile_al,2023,linked,24,13,1270,-0.8661417322834646
mobile_al,2023,comparison,126,138,675,1.7777777777777777
wilmington_nc,2024,linked,13,15,1270,0.15748031496062992
wilmington_nc,2024,comparison,74,54,264,-7.575757575757576
