period,outcome,days,mean_daily_hours,total_hours
fitting,low_0-50nm,851,,0.0
fitting,low_50-150nm,851,,0.0
fitting,low_150-300nm,851,,0.0
fitting,low_total_0_300,851,0.0,0.0
fitting,movement_0-50nm,851,,0.0
fitting,movement_50-150nm,851,,0.0
fitting,movement_150-300nm,851,,0.0
fitting,movement_total_0_300,851,0.0,0.0
fitting,low_west_0_300,851,,0.0
fitting,low_north_0_300,851,,0.0
fitting,low_south_0_300,851,,0.0
fitting,low_east_0_300,851,,0.0
disruption,low_0-50nm,235,,0.0
disruption,low_50-150nm,235,,0.0
disruption,low_150-300nm,235,,0.0
disruption,low_total_0_300,235,0.0,0.0
disruption,movement_0-50nm,235,,0.0
disruption,movement_50-150nm,235,,0.0
disruption,movement_150-300nm,235,,0.0
disruption,movement_total_0_300,235,0.0,0.0
disruption,low_west_0_300,235,,0.0
disruption,low_north_0_300,235,,0.0
disruption,low_south_0_300,235,,0.0
disruption,low_east_0_300,235,,0.0
recovery,low_0-50nm,314,,0.0
recovery,low_50-150nm,314,,0.0
recovery,low_150-300nm,314,,0.0
recovery,low_total_0_300,314,0.0,0.0
recovery,movement_0-50nm,314,,0.0
recovery,movement_50-150nm,314,,0.0
recovery,movement_150-300nm,314,,0.0
recovery,movement_total_0_300,314,0.0,0.0
recovery,low_west_0_300,314,,0.0
recovery,low_north_0_300,314,,0.0
recovery,low_south_0_300,314,,0.0
recovery,low_east_0_300,314,,0.0
