period,outcome,days,mean_daily_hours,total_hours
fitting,low_0-50nm,851,383.2009400705053,326104.0
fitting,low_50-150nm,851,39.91186839012926,33965.0
fitting,low_150-300nm,851,12.078730904817862,10279.0
fitting,low_total_0_300,851,435.1915393654524,370348.0
fitting,movement_0-50nm,851,54.9647473560517,46775.0
fitting,movement_50-150nm,851,127.5252643948296,108524.0
fitting,movement_150-300nm,851,225.2173913043478,191660.0
fitting,movement_total_0_300,851,407.7074030552291,346959.0
fitting,low_west_0_300,851,168.76850763807286,143622.0
fitting,low_north_0_300,851,94.06580493537015,80050.0
fitting,low_south_0_300,851,161.3713278495887,137327.0
fitting,low_east_0_300,851,10.98589894242068,9349.0
disruption,low_0-50nm,235,776.468085106383,182470.0
disruption,low_50-150nm,235,67.97021276595744,15973.0
disruption,low_150-300nm,235,54.817021276595746,12882.0
disruption,low_total_0_300,235,899.2553191489362,211325.0
disruption,movement_0-50nm,235,49.40425531914894,11610.0
disruption,movement_50-150nm,235,124.06808510638298,29156.0
disruption,movement_150-300nm,235,257.8936170212766,60605.0
disruption,movement_total_0_300,235,431.3659574468085,101371.0
disruption,low_west_0_300,235,316.531914893617,74385.0
disruption,low_north_0_300,235,151.48510638297873,35599.0
disruption,low_south_0_300,235,338.4936170212766,79546.0
disruption,low_east_0_300,235,92.74468085106383,21795.0
recovery,low_0-50nm,314,654.0828025477707,205382.0
recovery,low_50-150nm,314,80.19745222929936,25182.0
recovery,low_150-300nm,314,49.09235668789809,15415.0
recovery,low_total_0_300,314,783.3726114649681,245979.0
recovery,movement_0-50nm,314,53.82802547770701,16902.0
recovery,movement_50-150nm,314,125.1624203821656,39301.0
recovery,movement_150-300nm,314,268.52547770700636,84317.0
recovery,movement_total_0_300,314,447.515923566879,140520.0
recovery,low_west_0_300,314,261.515923566879,82116.0
recovery,low_north_0_300,314,169.21974522292993,53135.0
recovery,low_south_0_300,314,291.0031847133758,91375.0
recovery,low_east_0_300,314,61.63375796178344,19353.0
