gfw_shift_observations,method,correlation
-8,pearson,0.6980230106205447
-8,spearman,0.8530775689728494
-7,pearson,0.7163102053873683
-7,spearman,0.8434059685970454
-6,pearson,0.7540079089672629
-6,spearman,0.8489965914377435
-5,pearson,0.7896325315471787
-5,spearman,0.8648631828563741
-4,pearson,0.8092042702852543
-4,spearman,0.8670451468675309
-3,pearson,0.8350445131716554
-3,spearman,0.8764165906448258
-2,pearson,0.8657645910094786
-2,spearman,0.9010458978758246
-1,pearson,0.8911690119827903
-1,spearman,0.8954961154171829
0,pearson,0.9061817151929419
0,spearman,0.9030028699593302
1,pearson,0.913646664235715
1,spearman,0.9034290734150618
2,pearson,0.9254843814777455
2,spearman,0.9179377114849149
3,pearson,0.9346089292355328
3,spearman,0.9204765296658606
4,pearson,0.9419424798748494
4,spearman,0.9256128787828455
5,pearson,0.9453679799884038
5,spearman,0.9216663608878425
6,pearson,0.9519353789565002
6,spearman,0.9177443257742534
7,pearson,0.9530505838590928
7,spearman,0.9177455257105843
8,pearson,0.9426815739814907
8,spearman,0.9101737027097431
