date,all_u_s_container_ports,los_angeles_long_beach,savannah,all_other_ports,days_included,low_0-50nm,low_50-150nm,low_150-300nm,low_total_0_300,movement_total_0_300
2021-07-27 00:00:00+00:00,64.0,26.0,17.0,21.0,7,1420.2857142857142,134.0,82.57142857142857,1636.857142857143,489.2857142857143
2021-08-03 00:00:00+00:00,60.0,25.0,14.0,21.0,7,1424.2857142857142,209.57142857142858,101.42857142857143,1735.2857142857142,527.1428571428571
2021-08-10 00:00:00+00:00,75.0,33.0,19.0,23.0,7,1552.142857142857,132.14285714285714,86.85714285714286,1771.142857142857,535.4285714285714
2021-08-17 00:00:00+00:00,62.0,31.0,13.0,18.0,7,1743.2857142857142,152.14285714285714,77.28571428571429,1972.7142857142858,535.0
2021-08-24 00:00:00+00:00,73.0,38.0,14.0,21.0,7,1759.142857142857,185.71428571428572,106.85714285714286,2051.714285714286,483.2857142857143
2021-08-31 00:00:00+00:00,88.0,46.0,21.0,21.0,7,1952.857142857143,158.42857142857142,80.14285714285714,2191.4285714285716,447.42857142857144
2021-09-07 00:00:00+00:00,100.0,43.0,25.0,32.0,7,1812.142857142857,151.71428571428572,89.14285714285714,2053.0,474.2857142857143
2021-09-14 00:00:00+00:00,103.0,56.0,24.0,23.0,7,2161.8571428571427,127.0,82.71428571428571,2371.5714285714284,531.7142857142857
2021-09-21 00:00:00+00:00,118.0,69.0,24.0,25.0,7,2433.1428571428573,114.28571428571429,81.71428571428571,2629.1428571428573,513.4285714285714
2021-09-28 00:00:00+00:00,116.0,66.0,24.0,26.0,7,2460.5714285714284,113.71428571428571,124.14285714285714,2698.4285714285716,470.2857142857143
2021-10-05 00:00:00+00:00,105.0,63.0,21.0,21.0,7,2443.714285714286,120.28571428571429,54.0,2618.0,387.0
2021-10-12 00:00:00+00:00,99.0,58.0,22.0,19.0,7,2336.1428571428573,121.14285714285714,43.42857142857143,2500.714285714286,437.2857142857143
2021-10-19 00:00:00+00:00,99.0,68.0,22.0,9.0,7,2436.714285714286,123.71428571428571,93.28571428571429,2653.714285714286,442.42857142857144
2021-10-26 00:00:00+00:00,114.0,77.0,28.0,9.0,7,2738.0,166.71428571428572,35.0,2939.714285714286,411.42857142857144
