port,year,source_category,pollutant,reported_quantity,reported_unit,page,source_file,source_sha256
POLA,2018,ocean_going_vessels,PM10,57.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,harbor_craft,PM10,27.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,cargo_handling_equipment,PM10,8.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,locomotives,PM10,33.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,heavy_duty_vehicles,PM10,9.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,ocean_going_vessels,PM2.5,53.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,harbor_craft,PM2.5,25.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,cargo_handling_equipment,PM2.5,7.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,locomotives,PM2.5,31.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,heavy_duty_vehicles,PM2.5,9.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,ocean_going_vessels,DPM,43.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,harbor_craft,DPM,27.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,cargo_handling_equipment,DPM,6.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,locomotives,DPM,33.000000,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
