port,year,pollutant,extracted_category_sum,published_total,difference,rounding_tolerance,pass,reported_unit,page,source_file,source_sha256
POLA,2018,PM10,134.000000,134.000000,0.000000,1.340000,True,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,PM2.5,125.000000,125.000000,0.000000,1.250000,True,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,DPM,118.000000,118.000000,0.000000,1.180000,True,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,NOx,6554.000000,6554.000000,0.000000,65.540000,True,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,SOx,118.000000,118.000000,0.000000,1.180000,True,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,CO,2133.000000,2132.000000,1.000000,21.320000,True,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,HC,379.000000,380.000000,-1.000000,3.800000,True,short_tons,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLA,2018,CO2e,933572.000000,933572.000000,0.000000,9335.720000,True,metric_tonnes,72,pola_2018_air_emissions_inventory.pdf,5af800d5f06e94b674b95ac0a4e62d9399d71a863236951422a2cedfbc823f1f
POLB,2018,PM10,142.000000,143.000000,-1.000000,1.430000,True,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,PM2.5,134.000000,134.000000,0.000000,1.340000,True,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,DPM,119.000000,120.000000,-1.000000,1.200000,True,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,NOx,6948.000000,6948.000000,0.000000,69.480000,True,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,SOx,219.000000,219.000000,0.000000,2.190000,True,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,CO,1761.000000,1760.000000,1.000000,17.600000,True,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,HC,321.000000,321.000000,0.000000,3.210000,True,short_tons,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLB,2018,CO2e,835690.000000,835689.000000,1.000000,8356.890000,True,metric_tonnes,50,polb_2018_air_emissions_inventory.pdf,e829a5609b000c76e7751fb2c688430fbad36b8931f0daa2d1e49937b12fd1a6
POLA,2019,PM10,128.000000,127.000000,1.000000,1.270000,True,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,PM2.5,118.000000,118.000000,0.000000,1.180000,True,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,DPM,113.000000,112.000000,1.000000,1.120000,True,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,NOx,6172.000000,6172.000000,0.000000,61.720000,True,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,SOx,110.000000,109.000000,1.000000,1.090000,True,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,CO,2003.000000,2003.000000,0.000000,20.030000,True,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,HC,363.000000,363.000000,0.000000,3.630000,True,short_tons,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLA,2019,CO2e,879774.000000,879774.000000,0.000000,8797.740000,True,metric_tonnes,74,pola_2019_air_emissions_inventory.pdf,ebdf6620acee1be30821ff0276c0d087aebca2e2f0b0452f7004d10fc597c5da
POLB,2019,PM10,137.000000,138.000000,-1.000000,1.380000,True,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,PM2.5,129.000000,129.000000,0.000000,1.290000,True,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,DPM,115.000000,115.000000,0.000000,1.150000,True,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,NOx,6613.000000,6613.000000,0.000000,66.130000,True,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,SOx,215.000000,214.000000,1.000000,2.140000,True,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
POLB,2019,CO,1798.000000,1799.000000,-1.000000,17.990000,True,short_tons,51,polb_2019_air_emissions_inventory.pdf,a360b4cf9c46aa94f344c6b134f1183fac07076b9977e31e1dab1d4251a00eab
