year,source_category,pollutant,reported_unit,reported_quantity,spb_all_sector_total,share_of_spb_total,reported_quantity_2018,change_from_2018_pct
2018,cargo_handling_equipment,CO,short_tons,1509.000000,3894.000000,0.387519,1509.000000,0.000000
2018,cargo_handling_equipment,CO2e,metric_tonnes,310660.000000,1769262.000000,0.175587,310660.000000,0.000000
2018,cargo_handling_equipment,DPM,short_tons,9.000000,237.000000,0.037975,9.000000,0.000000
2018,cargo_handling_equipment,HC,short_tons,120.000000,700.000000,0.171429,120.000000,0.000000
2018,cargo_handling_equipment,NOx,short_tons,791.000000,13502.000000,0.058584,791.000000,0.000000
2018,cargo_handling_equipment,PM10,short_tons,12.000000,276.000000,0.043478,12.000000,0.000000
2018,cargo_handling_equipment,PM2.5,short_tons,11.000000,259.000000,0.042471,11.000000,0.000000
2018,cargo_handling_equipment,SOx,short_tons,3.000000,337.000000,0.008902,3.000000,0.000000
2018,harbor_craft,CO,short_tons,1064.000000,3894.000000,0.273241,1064.000000,0.000000
2018,harbor_craft,CO2e,metric_tonnes,121456.000000,1769262.000000,0.068648,121456.000000,0.000000
2018,harbor_craft,DPM,short_tons,50.000000,237.000000,0.210970,50.000000,0.000000
2018,harbor_craft,HC,short_tons,162.000000,700.000000,0.231429,162.000000,0.000000
2018,harbor_craft,NOx,short_tons,1495.000000,13502.000000,0.110724,1495.000000,0.000000
2018,harbor_craft,PM10,short_tons,50.000000,276.000000,0.181159,50.000000,0.000000
2018,harbor_craft,PM2.5,short_tons,46.000000,259.000000,0.177606,46.000000,0.000000
2018,harbor_craft,SOx,short_tons,2.000000,337.000000,0.005935,2.000000,0.000000
2018,heavy_duty_vehicles,CO,short_tons,365.000000,3894.000000,0.093734,365.000000,0.000000
2018,heavy_duty_vehicles,CO2e,metric_tonnes,705405.000000,1769262.000000,0.398700,705405.000000,0.000000
2018,heavy_duty_vehicles,DPM,short_tons,16.000000,237.000000,0.067511,16.000000,0.000000
2018,heavy_duty_vehicles,HC,short_tons,61.000000,700.000000,0.087143,61.000000,0.000000
2018,heavy_duty_vehicles,NOx,short_tons,2633.000000,13502.000000,0.195008,2633.000000,0.000000
2018,heavy_duty_vehicles,PM10,short_tons,16.000000,276.000000,0.057971,16.000000,0.000000
2018,heavy_duty_vehicles,PM2.5,short_tons,16.000000,259.000000,0.061776,16.000000,0.000000
