outcome,event,estimate,standard_error,ci_low,ci_high,p_value,n_pre_weeks,n_mature_weeks,window_weeks
ddd_west,2019-11-19,-0.5687312500147133,0.8080060438990094,-2.1523939953474613,1.014931495318035,0.4815137080171358,44,41,52
ddd_west,2019-12-17,-0.5210065156816066,0.5779475346158041,-1.6537628684822987,0.6117498371190855,0.36733465985321456,48,41,52
ddd_west,2020-01-14,0.16551603331928594,0.3379562247586061,-0.49686599555870575,0.8278980621972776,0.6243066858002658,51,40,52
ddd_west,2020-02-11,-0.11112253744309736,0.35740111687259146,-0.8116158545477672,0.5893707796615726,0.7558627538853823,51,40,52
ddd_west,2020-03-10,-0.20574214460830703,0.31989674109575506,-0.8327282359277213,0.42124394671110715,0.5201256465853211,51,40,52
ddd_west,2020-04-07,-0.6695280057046596,0.30892838138435447,-1.2750165070202484,-0.0640395043890708,0.03021506380719757,51,40,52
ddd_west,2020-05-05,-0.3692294043801193,0.30167475304629504,-0.9605010553958725,0.22204224663563388,0.22097785509302892,51,40,52
ddd_west,2020-06-02,0.6941489935908188,0.28918559867765076,0.12735563533496952,1.2609423518466683,0.016379039869831698,51,40,52
ddd_west,2020-06-30,0.22962185098227883,0.32321375807857355,-0.4038654741595673,0.863109176124125,0.4774354136284893,51,40,52
ddd_west,2020-07-28,-0.7187264872743829,0.358677216872169,-1.4217209144188965,-0.015732060129869385,0.04508877601392935,51,40,52
ddd_west,2020-08-25,-0.25215145905161107,0.32536378170644886,-0.8898527530700029,0.38554983496678075,0.4383495970955764,51,40,52
ddd_west,2020-09-22,-0.4541601073783005,0.351509784584846,-1.1431066253780313,0.23478641062143035,0.19634781910447363,51,40,52
ddd_west,2020-10-20,0.15830166529732026,0.3084301883490205,-0.4462103956116653,0.7628137262063058,0.6077767467657971,51,41,52
ddd_west,2020-11-17,0.058029928766480665,0.31456492946223197,-0.5585060037788765,0.6745658613118379,0.8536394327401309,51,41,52
ddd_west,2020-12-15,-0.5351322689138068,0.41542388072623704,-1.3493481134550946,0.2790835756274809,0.19769040456858922,51,40,52
ddd_west,2021-01-12,-1.2491904156638958,0.39041295707214146,-2.014385750623075,-0.4839950807047163,0.0013758772334127808,51,39,52
ddd_west,2021-02-09,0.385905037705615,0.4554863465914685,-0.5068317970633917,1.2786418724746218,0.3968628482181066,51,39,52
ddd_west,2021-03-09,1.2075232674892251,0.2941993346116035,0.630903167374834,1.7841433676036162,4.052969258521014e-05,51,39,52
ddd_west,2021-04-06,0.39011841933307206,0.433196213540107,-0.4589305574446602,1.2391673961108043,0.36782324684251055,51,39,52
ddd_west,2021-05-04,0.04953258943637426,0.3219024183279438,-0.5813845570227418,0.6804497358954904,0.8777086520488202,51,39,52
ddd_west,2022-05-31,0.030068965901804467,0.28221733077853534,-0.5230668382371522,0.583204770040761,0.9151496152830472,50,40,52
ddd_west,2022-06-28,0.35862605359016614,0.3284394793775636,-0.28510349709094435,1.0023556042712767,0.2748730611456913,50,40,52
ddd_west,2022-07-26,0.05516124579824902,0.4075644662501284,-0.743650429430293,0.853972921026791,0.8923402071896371,50,40,52
ddd_west,2022-08-23,-1.0321213464387609,0.3190458355441713,-1.6574396935228257,-0.406802999354696,0.0012163195707454693,50,40,52
ddd_west,2022-09-20,0.04338726357987174,0.2620431089819536,-0.47020779242166166,0.5569823195814052,0.8684929971608604,50,40,52
ddd_west,2022-10-18,0.30833931928342007,0.28330390239817455,-0.24692612609665265,0.8636047646634928,0.27643203151441875,50,41,52
ddd_west,2022-11-15,0.9259628233243918,0.2075893226382487,0.5190952273783591,1.3328304192704246,8.174908630466201e-06,50,41,52
