week_start,speed_bin,ring,mean_daily_hours,days_included
2018-12-31,10-15,0-50nm,53.833333333333336,6
2018-12-31,10-15,150-300nm,192.33333333333334,6
2018-12-31,10-15,50-150nm,87.83333333333333,6
2018-12-31,15-25,0-50nm,5.166666666666667,6
2018-12-31,15-25,150-300nm,121.33333333333333,6
2018-12-31,15-25,50-150nm,50.5,6
2018-12-31,2-4,0-50nm,6.666666666666667,6
2018-12-31,2-4,150-300nm,3.1666666666666665,6
2018-12-31,2-4,50-150nm,4.833333333333333,6
2018-12-31,4-6,0-50nm,10.666666666666666,6
2018-12-31,4-6,150-300nm,2.1666666666666665,6
2018-12-31,4-6,50-150nm,4.666666666666667,6
2018-12-31,6-10,0-50nm,26.333333333333332,6
2018-12-31,6-10,150-300nm,11.833333333333334,6
2018-12-31,6-10,50-150nm,26.166666666666668,6
2018-12-31,<2,0-50nm,805.1666666666666,6
2018-12-31,<2,150-300nm,69.33333333333333,6
2018-12-31,<2,50-150nm,143.0,6
2018-12-31,>25,0-50nm,0.0,6
2018-12-31,>25,150-300nm,0.0,6
2018-12-31,>25,50-150nm,0.0,6
2019-01-07,10-15,0-50nm,47.42857142857143,7
2019-01-07,10-15,150-300nm,133.0,7
2019-01-07,10-15,50-150nm,71.57142857142857,7
2019-01-07,15-25,0-50nm,5.285714285714286,7
2019-01-07,15-25,150-300nm,99.0,7
2019-01-07,15-25,50-150nm,42.0,7
2019-01-07,2-4,0-50nm,5.714285714285714,7
2019-01-07,2-4,150-300nm,5.285714285714286,7
2019-01-07,2-4,50-150nm,2.5714285714285716,7
2019-01-07,4-6,0-50nm,11.0,7
2019-01-07,4-6,150-300nm,5.571428571428571,7
2019-01-07,4-6,50-150nm,2.7142857142857144,7
2019-01-07,6-10,0-50nm,30.0,7
2019-01-07,6-10,150-300nm,27.571428571428573,7
2019-01-07,6-10,50-150nm,32.57142857142857,7
2019-01-07,<2,0-50nm,814.4285714285714,7
2019-01-07,<2,150-300nm,62.714285714285715,7
2019-01-07,<2,50-150nm,84.0,7
2019-01-07,>25,0-50nm,0.0,7
2019-01-07,>25,150-300nm,0.0,7
2019-01-07,>25,50-150nm,0.0,7
2019-01-14,10-15,0-50nm,54.57142857142857,7
2019-01-14,10-15,150-300nm,181.28571428571428,7
2019-01-14,10-15,50-150nm,88.14285714285714,7
2019-01-14,15-25,0-50nm,6.428571428571429,7
2019-01-14,15-25,150-300nm,112.14285714285714,7
2019-01-14,15-25,50-150nm,56.714285714285715,7
2019-01-14,2-4,0-50nm,5.714285714285714,7
2019-01-14,2-4,150-300nm,10.571428571428571,7
2019-01-14,2-4,50-150nm,3.2857142857142856,7
2019-01-14,4-6,0-50nm,8.714285714285714,7
2019-01-14,4-6,150-300nm,9.0,7
2019-01-14,4-6,50-150nm,6.428571428571429,7
2019-01-14,6-10,0-50nm,24.428571428571427,7
2019-01-14,6-10,150-300nm,27.0,7
2019-01-14,6-10,50-150nm,16.714285714285715,7
2019-01-14,<2,0-50nm,732.5714285714286,7
2019-01-14,<2,150-300nm,81.71428571428571,7
2019-01-14,<2,50-150nm,72.42857142857143,7
2019-01-14,>25,0-50nm,0.14285714285714285,7
2019-01-14,>25,150-300nm,0.0,7
2019-01-14,>25,50-150nm,0.0,7
